company name,category,based in,tags,total funding,founded,website,company status
Greentrade,Germany,Eberswalde,"Blockchain, FinTech, GreenTech",No funding announced yet,2022,https://greentrade.tech,N/A
Greentropism,France,Paris,"Analytics, Industrial, Machine Learning, Software",Between €1 million-€ 2.5 million,2014,http://www.greentropism.com/,N/A
Greenwise,Estonia,Tallinn,Environmental Engineering,No funding announced yet,2020,www.greenwise.tech,N/A
Greenworkx,UK,London,SaaS,Between €1 million-€ 2.5 million,2022,https://www.greenworkx.org/,Active
Greenworlder,Luxembourg,Luxembourg,"Networking, Social Media, Social Network, Sustainability",Between €2.5 million-5 million,2021,https://greenworlder.com,N/A
Greenyng,Spain,Boadilla Del Monte,"Recycling, Software, Waste Management",No funding announced yet,2018,http://www.greenyng.com/,N/A
Greet,Lithuania,Vilnius,"Hospitality Service, Digital, Tech Company",Between €100K-€500K,2022,https://greet.menu/en/home/,Active
Greetmateai,UK,England,"receptionist, ai calling, ai calls",No funding announced yet,2024,https://www.greetmate.ai,Active
Gregfins,UK,London,"Finance, Financial Services, FinTech",Between €100K-€500K,2018,https://gregfins.co.uk,N/A
Grenzelooswerk,Netherlands,Leeuwarden,"Job Board, Online Platform, Jobs, Internet",No funding announced yet,2016,http://www.grenzelooswerk.nl/,N/A
Greps,Norway,Oslo,"Software Development, Coding, Object Oriented Programming",Between €100K-€500K,2017,www.greps.com/,N/A
Gretel,Spain,Barcelona,"B2B, Software Development, Company Communication",Between €100K-€500K,2022,https://gretel.co,N/A
Gretol,UK,London,"Blockchain, Information Technology, Internet",Between €1-€100K,2022,https://www.gretol.com,N/A
Grey Glasses,Spain,Madrid,"glasses, optical, tech, AR, AI",N/A,2018,https://greyhounders.com/,N/A
Grey Vaults,UK,London,"Bullion Investor Platform, Space Research, Technology",No funding announced yet,2023,https://www.greyvaults.com,N/A
Greycortex,Czechia,Brno,"Cybersecurity, Network Security, AI, Machine Learning, Data Mining, GREYCORTEX, Brno",N/A,2016,www.greycortex.com,N/A
Greyhorse Clearinghouse Ltd,UK,"London, England","Financial Services, Defi, Investment Management, Banking",Between €500K-€ 1 million,2020,https://www.greyhorsecompany.com,N/A
Greyhounders Glasses,Spain,Madrid,"Accessories, Eyewear, Internet Retail, Consumer Goods",Between €500K-€ 1 million,2018,https://greyhounders.com/,N/A
Greyp,Croatia,Sveta Nedelja,"Mobility, Electric Bicycles, Innovative Transportation",N/A,2013,www.greyp.com,N/A
Greyparrot,UK,London,"Artificial Intelligence,B2B, Computer Vision",N/A,2019,greyparrot.ai,N/A
Greyrox,Netherlands,Amsterdam,"orchestration, cloud, ipaas",Between €100K-€500K,2024,www.greyrox.com,Active
Greyscout,Ireland,Dublin,"Google Tag Manager,Marketing Automation,Content Management System,",No funding announced yet,2019,https://greyscout.com/,Active
Grib,Finland,Helsinki,"AR, 3D model, mobile",N/A,2016,https://grib3d.com/,N/A
Grid Edge,UK,Birmingham,"Artificial Intelligence, Environmental Consulting, Machine Learning, Renewable Energy, Software",Between €2.5 million-5 million,2016,https://gridedge.ai,N/A
Grid Entertainment,Hungary,Budapest,"Digital Entertainment, Augmented Reality, Hyper Reality, Virtual Reality",No funding announced yet,2018,enterthegrid.io,N/A
Grid Esports,Germany,Berlin,"Analytics, eSports, Sports",Between €10 million-€25 million,2018,https://www.grid.gg/,N/A
Gridaly,Poland,Warsaw,online events. virtual platform. networking.,No funding announced yet,2020,www.gridaly.com,N/A
Gridbeyond,Ireland,Dublin,"Smart Grid, Metering, Reporting, Energy Management",Above €25 million,2010,https://gridbeyond.com/,Active
Gridcog,UK,London,"Services for Renewable Energy, Holistic Software, Optimize Transistion",Between €2.5 million-5 million,2020,https://www.gridcog.com/,Active
Gridio,Estonia,Tallinn,"Electrical Distribution, Electronics, Environmental Consulting",Between €500K-€ 1 million,2015,https://www.gridio.io,N/A
Gridlock,UK,Bristol,"Blockchain, Cloud Security, Cyber Security, Software",No funding announced yet,2020,gridlock.network,N/A
Gridly,Sweden,Helsingborg,"CMS, Database, Information Technology, Internet, Software ,Video Games",No funding announced yet,2020,www.gridly.com/,N/A
Gridscale,Germany,Cologne,"IaaS, PaaS, Cloud Solutions",N/A,2014,www.gridscale.io,N/A
Gridsearch,Romania,Alba Iulia,ecommerce/webshop/marketplace/Multi-Channel Integration,No funding announced yet,2022,https://integrator.gridsearch.ai,Active
Gridshare,Italy,Milan,"energy,solar,investment",No funding announced yet,2023,https://www.gridshare.it/,Active
Gridx,Germany,Munich,"Energy, Internet of Things, Renewable Energy",Between €1-€100K,2016,http://www.gridX.ai,N/A
Grievy,Germany,Cologne,Health,Between €1 million-€ 2.5 million,2021,https://grievy.de/,Active
Griff Aviation,Norway,Tornes I Romsdal,"Drones, Software",Above €25 million,2015,https://griffaviation.com/,N/A
Griffex,UK,London,"Blockchain, Cryptocurrency, E-Commerce, Financial Services, Marketplace",No funding announced yet,2018,https://griffex.co/,N/A
Griffin,UK,London,"Banking, Financial Services, FinTech",Between €5 million-€10 million,2017,https://griffin.sh/,N/A
Grim,Denmark,Copenhagen,"Marketplace, food waste, sustainability",N/A,2018,eatgrim.com/,N/A
Grimp,France,Paris,"Recruiting, Software, HR",No funding announced yet,2021,https://grimp.io,N/A
Grindclaw,Latvia,Pinki,"Computer Games, eSports, Healthcare, Manufacturing",Between €1-€100K,2022,https://www.grindclaw.com,Active
Grindition,UK,London,"Food & Beverage, Coffee",Between €100K-€500K,2023,https://grindition.com/,Active
Grindmy,Germany,Hamburg,"Social Media, Marketing, Communications",No funding announced yet,2021,https://grind.my,N/A
Grinfer,Netherlands,Amsterdam,"E-learning, Online Courses, Online Platform",No funding announced yet,2019,https://grinfer.com/?utm_source=crunchbase&utm_medium=other&utm_campaign=crunchbase_profile,N/A
Grip,UK,London,"Event Tech, Networking app, Matchmaking App",No funding announced yet,2016,www.grip.events,Active
