company name,category,based in,tags,total funding,founded,website,company status
Socioviz,Italy,Milan,"Analytics, Digital Marketing, Information Technology, Non Profit",No funding announced yet,2019,https://socioviz.net,
Socital,UK,London,"Analytics, Artificial Intelligence, E-Commerce, Marketing Automation, Personalization, SaaS, Software",Between €1 million-€ 2.5 million,2016,http://www.socital.com,
Socius,Netherlands,Oslo,"Social Media, Content Marketing, AdTech",,2016,www.socius.co,
Sock Geeks,UK,Waterlooville,"Subscription Business, Subscription Box, Subscription Commerce",Between €1-€100K,2017,https://sockgeeks.co.uk,
Sockstock,Germany,Düsseldorf,"sockstock, online shop socks, mens socks, female socks, baby socks",,2019,https://www.sockstock.net/en/,
Socopet,Italy,Rivalta Scrivia,"Packaging Services, Plastics, Rubber Manufacturing",Between €100K-€500K,2015,https://www.socojars.com/,
Socrai,Belgium,Zellik,"Cyber Security, E-Learning, SaaS",No funding announced yet,2019,https://socrai.com,
Socratic Owl,UK,London,"Education, Socratic Owl, AI homework helper, AI tutor",No funding announced yet,2024,https://apps.apple.com/us/app/socratic-owl-question-answer/id6502917782,Active
Socyza,Italy,Florence,"Internet, Software, Online",Between €1-€100K,2017,https://www.socyza.com/,
Soda,Belgium,Brussels,"Data Analytics, Monitoring Platform, Data Protection",Between €10 million-€25 million,2018,www.soda.io,
Soda Says,UK,UK,"Tech, Products, Services",,2017,https://sodasays.com/,
Sofetech,UK,London,"Blockchain, Technology, Information and Internet,",Between €1-€100K,2025,https://www.transfero.me/,Active
Sofia2Go,Bulgaria,Sofia,"Food, Beverage Services, Marketplace, Consulting",Between €100K-€500K,2021,https://www.foody.to,
Soficreo,Slovakia,Bratislava,"Ed-Tech, Future of Educatin, Children On The Move, Migration",Between €500K-€ 1 million,2022,https://www.soficreo.com,Active
Sofitto,Belgium,Leuven,"Blockchain, Fintech, Cryptocurrency, Banking, Sofitto, Leuven",,2016,https://sofitto.com,
Soft Edge,Poland,Kraków,"InsureTech, Car Hail Damage assessment, PDR, AI, AR",No funding announced yet,2014,https://www.soft-edge.com,
Softark,Netherlands,Rotterdam,"Automation, Software Engineering, Agency, Ai, Ai-Agents",No funding announced yet,2025,https://softark.nl,Active
Softaware,Bulgaria,Sofia,"Blockchain, IT, Software, Mobile Apps",No funding announced yet,2021,https://softaware.io/,Active
Softbuilder,France,Paris,"software engineers, Salesforce metadata",No funding announced yet,2019,https://soft-builder.com/,
Softcare Studios,Italy,Rome,"Health Care, Information Technology, Virtual Reality",No funding announced yet,2017,https://www.softcarestudios.com/,
Softdroom Ltd,UK,"London, England. United Kingdom.","Software Development Conglomerate, SAAS, Software as a Service, Softdroom",No funding announced yet,2019,www.softdroom.com,
Softgen,Austria,Austria,"AI code assistant, full stack developer",No funding announced yet,2024,https://softgen.ai/,Active
Softlead,Romania,Bucharest,"Software, digital transformation, digital DNA",No funding announced yet,2019,www.softlead.ro,
Softpay,Denmark,Copenhagen,"Mobile Apps, Mobile Devices, Mobile Payments",No funding announced yet,2019,https://softpay.io/,
Softqbits,Spain,"Madrid, Spain","software, organizational, softqbits",,2017,http://www.softqbits.technology,
Softr,Germany,Berlin,"responsive, web applications, web development",No funding announced yet,2018,https://www.softr.io,
Software Development Academy,Poland,Gdynia,"education, teaching, software",No funding announced yet,2015,https://sdacademy.dev,
Software Job,UK,London,"Software Job, It Jobs, Software Development",No funding announced yet,2020,https://softwarejob.co.uk,
Softwarehut,Poland,Bialystok,"Software Development, Solutions",,2015,SoftwareHut.com,
Softwarematchingio,Netherlands,Arnhem,"advice, software, consultant, online",Between €500K-€ 1 million,2023,https://www.softwarematching.io/,Active
Softwariza3,Spain,Alicante,"Cloud Computing, CRM, Enterprise Resource Planning (ERP), Enterprise Software",No funding announced yet,2020,https://softwariza3.es,
Sogur,Switzerland,Zug,"Cryptocurrency, Digital Signage, Financial Services, Professional Services, Virtual Currency",Above €25 million,2017,https://www.sogur.com,
Sohhytec,Switzerland,Ecublens,"solar fuel, technology, electrochemical device, fossil fuels",Between €100K-€500K,2020,https://www.sohhytec.com/,
Soil Scout,Finland,Helsinki,"Wireless Sensors, Remote Monitoring, Underground Sensors, Water Saving",,2013,http://www.soilscout.com/,
Soilsense,Denmark,Copenhagen,"soil sensors, agriculture, agtech",Between €100K-€500K,2017,https://soilsense.io/,
Soilspect,Netherlands,Noordwijk,BigData,Between €1-€100K,2019,https://soilspect.nl/,Active
Soilytix,Germany,Hamburg,Agritech,Between €5 million-€10 million,2021,https://soilytix.com/,Active
Soisy,Italy,Milan,"Financial Services, FinTech, E-Commerce",Between €1 million-€ 2.5 million,2015,https://www.soisy.it/,
Sojo,Poland,Chiswick,Fashion,Between €1 million-€ 2.5 million,2020,https://home.sojo.uk,
Sokari,Belgium,Belgium,"Self-monitoring diary, Graphical visualization, Mobile App",Between €100K-€500K,2024,https://www.sokaricare.com/,Active
Soke Fashion,Hungary,Nyiregyhaza,"fashion, innovation, digital fabric,",No funding announced yet,2023,http://soke.fashion,
Sokjo,Spain,Barcelona,"Banking, Finance, FinTech, Mobile",No funding announced yet,2020,https://www.sokjo.com/,
Sola Diagnostics,Austria,Zams,"Biotechnology, Appeal, Particularly",No funding announced yet,2020,https://www.sola-diagnostics.com/,
Solaga,Germany,Berlin,"algae, biofilm,",,2017,https://www.solaga.de,
Solaire Box,France,Paris,"Eco-Construction, GreenTech, Eco Houses",,2014,www.solairebox.fr,
Solamove,UK,London,"Renewable Energy, Transportation",Between €1-€100K,2021,http://www.solamove.com/,
Solar,UK,England,"AI-powered development, No-code/Low-code, Collaborative development, Rapid prototyping, Full-stack development",Between €1-€100K,2024,https://try.solar,Active
Solar Materials,Germany,Magdeburg,"Assistive Technology, Recycling, Solar, Sustainability",Between €1-€100K,2021,https://solar-materials.com/,
Solar Monkey,Netherlands,Delft,"Solar Energy, Clean Tech, Green Tech, Smart Energy",,2015,www.solarmonkey.nl,
Solar Staff,Cyprus,Limassol,"Fintech, Freelancers, HR, Gig economy",No funding announced yet,2014,https://solar-staff.com,
Solar Wifi Eco Bin,Germany,Berlin,"solar, waste management, wifi, IoT",,2017,https://solaroutdoormedia.de/solarwifiecobin,
Solaraide,Lithuania,Vilnius,"CleanTech, Energy",No funding announced yet,2020,https://www.solaraide.tech,
Solarcreed,Netherlands,Amsterdam,"Agriculture, E-Commerce, Product Design",Between €100K-€500K,2017,https://solarcreed.com/,
Solardesk,Spain,Sevilla,"energy monitoring, software, efficientcy",No funding announced yet,2020,https://solardesk.es/en/home/,
Solarduck,Netherlands,Nijmegen,"renewables, energy, maritime",Between €5 million-€10 million,2019,solarduck.tech,
Solarge,Netherlands,Eindhoven,"Manufacturing, Renewable, Solar",No funding announced yet,2018,https://solarge.com/,
Solarhr,Denmark,Copenhagen,"Human Resources Services, Payroll, online platform",No funding announced yet,2022,https://solarhr.io/,
Solarimo,Germany,Berlin,"Commercial, Industrial, Solar",No funding announced yet,2017,https://solarimo.de/,
Solaris Bank,Germany,Berlin,"fintech, banking, mobile",,2016,https://www.solarisbank.de,
Solaris Digital Assets,Germany,Berlin,"Banking, Cryptocurrency, Technical Support",No funding announced yet,2019,https://www.solarisdigitalassets.com/de/,
Solaris Offgrid,UK,London,"Clean Energy, Solar",Between €1 million-€ 2.5 million,2014,http://www.solarisoffgrid.com/,
Solarisbank,Germany,Berlin,"Fintech, BaaS, Banking, Digital Products",,2016,www.solarisbank.com,
Solarize,Germany,Stuttgart,"Information Services, Information Technology, Electricity",No funding announced yet,2020,https://www.solarize.de/,
Solarmente,Spain,Barcelona,"solar energy, solar subscription, renewable energy, block chain peer-to-peer trading",,2019,www.solarmente.es,
Solarstone,Estonia,Viljandi,"solar, PV, renewables",Between €100K-€500K,2015,www.solarstone.ee,
Solarwatch,Germany,Berlin,"iOS,app,sunrise,sunset",No funding announced yet,2017,https://solarwat.ch,Active
Solasta Bio,UK,Glasgow,"Biotechnology, Information Technology, Science",Between €1 million-€ 2.5 million,2020,https://solastabio.com/,
Solatom,Spain,Valencia,CleanTech,Between €500K-€ 1 million,2016,https://solatom.com/,Active
Solavieve Technologies,Germany,Heidelberg,"Apps, Health Care, Information Technology, Mobile",Between €100K-€500K,2019,https://solavieve.com/,
Solaxer,Switzerland,Ecublens,Sustainability,Between €2.5 million-5 million,2021,https://www.solaxer.com/,Active
Solcept,Switzerland,Wetzikon,"Embedded Systems, Embedded Software, Safety, Security, IoT Development",No funding announced yet,2004,http://www.solcept.ch,
Soldo,UK,London,"FinTech, Multi-user, Expence Account",,2014,http://www.soldo.com/,
Soleadify,Romania,Bucuresti,"b2b prospecting tool, prospecting websites,sales intelligence tool",,2019,https://www.soleadify.com/,
Solease,Netherlands,Utrecht,"Solar Energy, GreenTech, Smart Energy",,2011,www.solease.nl,
Soleil One,Switzerland,Zurich,"Health Care, Health Diagnostics, Personal Health, Web Apps",Between €1-€100K,2021,https://soleil.one/,
Solena Materials,UK,London,"fashion, protein materials, textile, textile industry",No funding announced yet,2022,https://www.solena-materials.com/,
Soletair Power,Finland,Lappeenranta,"Environmental Engineering, Green Building, GreenTech, Renewable Energy",Between €1 million-€ 2.5 million,2016,https://www.soletairpower.fi/,
Solfy,Malta,San Ġwann,"FinTech, Banking, Loans, Solfy, Malta",,2018,https://solfy.com/,
Solgt No,Norway,Oslo,"Real Estate, Digital, Housing Market",No funding announced yet,2020,http://www.solgt.no,
Solho,Netherlands,Delft,"Renewable Energy, Sustainable, Electricity",Between €1-€100K,2017,https://www.solho.eu/,
Solid World Dao,Estonia,Tartu,"Financial Services, Blockchain, WebTech",Between €1 million-€ 2.5 million,2021,https://www.solid.world/,
Solidq It,Netherlands,Mijdrecht,"Information Technology, Landscape, Organization",No funding announced yet,2018,https://solidq.nl/,
Solidroad,Ireland,Dublin,SaaS,Between €5 million-€10 million,2023,https://www.solidroad.com/,Active
Solivus,UK,London,"Solartech, solar, pannel",Between €5 million-€10 million,2016,https://www.solivus.com/,
Solkie,Netherlands,Utrecht,"Hrm, Surveys, Tools, Engagement",No funding announced yet,2018,https://solkie.nl,Active
Solmeyea,Greece,Athens,"footprint, co2, impact, green tech, emissions, environmental tech, microalgae",,2019,https://www.solmeyea.com,
Solna,UK,London,"SMEs, data, tools",,2017,https://solna.io/,
Solo Creator Cafe,France,Paris,"One Person Business, Creator Economy, Business, Solopreneur",No funding announced yet,2024,https://www.solocreatorcafe.com,Idea Stage
Solo Crudo,Italy,Roma,"Food, Beverage, Gentle Cooking",Between €100K-€500K,2015,https://www.solocrudo.com/,
Solo Fly,Spain,Valencia,"travel, solotravel, valencia, london, travelblog, and travelagency",,2020,https://www.soloflytravel.co.uk,
Solofoodies,Spain,Madrid,"Advertising Services, Marketing, Blockchain",No funding announced yet,2021,https://solofoodies.com,Active
Solon,Spain,Madrid,"Internet, Internet Publishing, Convenient Access",No funding announced yet,2021,https://about.soloninterests.com/,
Solon Access To Experts,Spain,Madrid,"Internet Publishing, Internet, Information",No funding announced yet,2021,https://about.soloninterests.com/,Active
Solopex,Slovenia,Vrhnika,"Artificial Intelligence, Cloud Computing, Consulting, Consumer Electronics",No funding announced yet,2015,https://www.solopex.com/,
