REF_AREA,Reference area,Business development stage,TIME_PERIOD,OBS_VALUE
AUS,Australia,Start-up and other early stage,2007,84.51370105160984
AUS,Australia,Later stage venture,2007,566.4928278409888
AUS,Australia,Total,2007,680.2934549995921
AUS,Australia,Seed,2007,29.286926106993505
AUS,Australia,Seed,2008,36.90723014567796
AUS,Australia,Total,2008,755.759417301269
AUS,Australia,Later stage venture,2008,546.898046704137
AUS,Australia,Start-up and other early stage,2008,171.9541404514541
AUS,Australia,Start-up and other early stage,2009,133.3656936219869
AUS,Australia,Later stage venture,2009,370.46026006107473
AUS,Australia,Total,2009,532.6828581509769
AUS,Australia,Seed,2009,28.856904467915296
AUS,Australia,Seed,2010,0.0
AUS,Australia,Total,2010,367.83608607580896
AUS,Australia,Later stage venture,2010,250.4220735628325
AUS,Australia,Start-up and other early stage,2010,117.41401251297644
AUS,Australia,Seed,2011,0.0
AUS,Australia,Start-up and other early stage,2011,91.80338150019516
AUS,Australia,Later stage venture,2011,154.7248002812278
AUS,Australia,Total,2011,246.52818178142297
AUS,Australia,Seed,2012,14.49573935534113
AUS,Australia,Total,2012,331.33118526494013
AUS,Australia,Later stage venture,2012,187.4092016654818
AUS,Australia,Start-up and other early stage,2012,129.42624424411724
AUS,Australia,Start-up and other early stage,2013,128.39782395615708
AUS,Australia,Later stage venture,2013,112.95146919451412
AUS,Australia,Total,2013,252.93405922190345
AUS,Australia,Seed,2013,11.584766071232217
AUS,Australia,Seed,2014,18.92977727791948
AUS,Australia,Total,2014,265.918299856488
AUS,Australia,Later stage venture,2014,161.3538158451232
AUS,Australia,Start-up and other early stage,2014,85.63470673344528
AUS,Australia,Start-up and other early stage,2015,84.1415517532222
AUS,Australia,Later stage venture,2015,171.28815892620233
AUS,Australia,Total,2015,288.4853202967618
AUS,Australia,Seed,2015,33.055609617337296
AUS,Australia,Seed,2016,29.735046315828505
AUS,Australia,Total,2016,165.7728832107439
AUS,Australia,Later stage venture,2016,49.06282642111703
AUS,Australia,Start-up and other early stage,2016,86.97501047379838
AUS,Australia,Start-up and other early stage,2017,101.1681797747518
AUS,Australia,Later stage venture,2017,211.53346680175372
AUS,Australia,Total,2017,354.85505481598545
AUS,Australia,Seed,2017,42.15340823947992
AUS,Australia,Seed,2018,50.80647243078301
AUS,Australia,Total,2018,428.86639963631535
AUS,Australia,Later stage venture,2018,272.71121231229114
AUS,Australia,Start-up and other early stage,2018,105.34871489324122
AUS,Australia,Start-up and other early stage,2019,100.79898559237697
AUS,Australia,Later stage venture,2019,342.0213855962032
AUS,Australia,Total,2019,487.31095793280167
AUS,Australia,Seed,2019,44.49058674422155
AUT,Austria,Later stage venture,2007,35.57534860849883
AUT,Austria,Start-up and other early stage,2007,40.42389433943233
AUT,Austria,Total,2007,85.42119723865122
AUT,Austria,Seed,2007,9.421954290720056
AUT,Austria,Seed,2008,7.758235098143807
AUT,Austria,Later stage venture,2008,41.59658271731721
AUT,Austria,Start-up and other early stage,2008,41.41791534296223
AUT,Austria,Total,2008,90.77273315842324
AUT,Austria,Seed,2009,8.894527529308911
AUT,Austria,Total,2009,103.99137912878264
AUT,Austria,Later stage venture,2009,41.15598451624133
AUT,Austria,Start-up and other early stage,2009,53.94086708323238
AUT,Austria,Start-up and other early stage,2010,20.81970413742517
AUT,Austria,Later stage venture,2010,20.059418886151683
AUT,Austria,Total,2010,48.87052983419965
AUT,Austria,Seed,2010,7.991406810622794
AUT,Austria,Later stage venture,2011,77.86619941512824
AUT,Austria,Start-up and other early stage,2011,47.876036362882175
AUT,Austria,Seed,2011,10.290029187909642
AUT,Austria,Total,2011,136.03226496592006
AUT,Austria,Later stage venture,2012,10.35682281628452
AUT,Austria,Start-up and other early stage,2012,31.70932961628553
AUT,Austria,Total,2012,53.85537329200836
AUT,Austria,Seed,2012,11.78922085943831
AUT,Austria,Seed,2013,15.208279721634955
AUT,Austria,Later stage venture,2013,52.16965879266207
AUT,Austria,Start-up and other early stage,2013,17.079319140816
AUT,Austria,Total,2013,84.45725765511303
AUT,Austria,Later stage venture,2014,42.44331486451551
AUT,Austria,Start-up and other early stage,2014,22.65900227997304
AUT,Austria,Seed,2014,13.61713298372507
AUT,Austria,Total,2014,78.71945012821361
AUT,Austria,Later stage venture,2015,67.35882740996576
AUT,Austria,Total,2015,130.1403038969133
AUT,Austria,Start-up and other early stage,2015,51.565632536297
AUT,Austria,Seed,2015,11.215843950650548
AUT,Austria,Seed,2016,2.0510914595960883
AUT,Austria,Start-up and other early stage,2016,29.07144864748837
AUT,Austria,Total,2016,59.98504972385866
AUT,Austria,Later stage venture,2016,28.8625096167742
AUT,Austria,Later stage venture,2017,75.8225058947046
AUT,Austria,Start-up and other early stage,2017,33.93421037336291
AUT,Austria,Seed,2017,1.6933920802187503
AUT,Austria,Total,2017,111.45010834828626
AUT,Austria,Seed,2018,2.7857653932076007
AUT,Austria,Start-up and other early stage,2018,30.350400893311782
AUT,Austria,Total,2018,98.89865718032684
AUT,Austria,Later stage venture,2018,65.76249089380745
AUT,Austria,Later stage venture,2019,33.95849790075021
AUT,Austria,Seed,2019,4.40889361595706
AUT,Austria,Start-up and other early stage,2019,38.5460036741601
AUT,Austria,Total,2019,76.91339519086736
AUT,Austria,Later stage venture,2020,57.99224311781159
AUT,Austria,Seed,2020,1.5340264788469848
AUT,Austria,Start-up and other early stage,2020,46.380140682009866
AUT,Austria,Total,2020,105.90641027866845
AUT,Austria,Seed,2021,16.878378364633015
AUT,Austria,Start-up and other early stage,2021,64.19689674017138
AUT,Austria,Total,2021,834.1786378318366
AUT,Austria,Later stage venture,2021,753.1033627270322
AUT,Austria,Start-up and other early stage,2022,89.88663141586339
AUT,Austria,Seed,2022,3.0548625179182807
AUT,Austria,Total,2022,190.35971878336025
AUT,Austria,Later stage venture,2022,97.41822484957858
AUT,Austria,Seed,2023,8.884686982896795
AUT,Austria,Total,2023,106.73964898300846
AUT,Austria,Start-up and other early stage,2023,87.3560815240213
AUT,Austria,Later stage venture,2023,10.498880476090358
AUT,Austria,Later stage venture,2024,110.66403987359746
AUT,Austria,Start-up and other early stage,2024,25.599899901454677
AUT,Austria,Total,2024,146.16976672157404
AUT,Austria,Seed,2024,9.905826946521913
BEL,Belgium,Later stage venture,2007,163.72336407406942
BEL,Belgium,Total,2007,264.96186507808164
BEL,Belgium,Start-up and other early stage,2007,94.00710510634636
BEL,Belgium,Seed,2007,7.231395897665855
BEL,Belgium,Start-up and other early stage,2008,69.44266074489529
BEL,Belgium,Seed,2008,12.894113195341564
BEL,Belgium,Total,2008,168.87153992274534
BEL,Belgium,Later stage venture,2008,86.53476598250849
BEL,Belgium,Start-up and other early stage,2009,107.0748385853168
BEL,Belgium,Seed,2009,8.877915670617666
BEL,Belgium,Total,2009,207.2450857282097
BEL,Belgium,Later stage venture,2009,91.2923314722752
BEL,Belgium,Later stage venture,2010,12.951018918652952
BEL,Belgium,Start-up and other early stage,2010,89.78467829211475
BEL,Belgium,Seed,2010,6.653771950934855
BEL,Belgium,Total,2010,109.38946916170256
BEL,Belgium,Later stage venture,2011,54.99489917998524
BEL,Belgium,Start-up and other early stage,2011,105.93281950697222
BEL,Belgium,Seed,2011,0.8449168369375926
BEL,Belgium,Total,2011,161.77263552389505
BEL,Belgium,Later stage venture,2012,85.33886275543077
BEL,Belgium,Start-up and other early stage,2012,73.520490041012
BEL,Belgium,Seed,2012,2.892059301939368
BEL,Belgium,Total,2012,161.75141209838213
BEL,Belgium,Later stage venture,2013,81.46826159122992
BEL,Belgium,Seed,2013,0.7012463272223611
BEL,Belgium,Start-up and other early stage,2013,65.52243807623059
BEL,Belgium,Total,2013,147.69194599468287
BEL,Belgium,Seed,2014,5.685983333692029
BEL,Belgium,Later stage venture,2014,75.53362555036466
BEL,Belgium,Start-up and other early stage,2014,89.05325986192626
BEL,Belgium,Total,2014,170.27286874598295
BEL,Belgium,Seed,2015,0.0
BEL,Belgium,Later stage venture,2015,40.47917997943451
BEL,Belgium,Start-up and other early stage,2015,66.33879673015899
BEL,Belgium,Total,2015,106.8179767095935
BEL,Belgium,Later stage venture,2016,114.34317963496638
BEL,Belgium,Seed,2016,13.031647776700982
BEL,Belgium,Total,2016,186.11016138824425
BEL,Belgium,Start-up and other early stage,2016,58.73533397657685
BEL,Belgium,Later stage venture,2017,93.84768741441748
BEL,Belgium,Seed,2017,51.889238692154095
BEL,Belgium,Total,2017,237.267185560108
BEL,Belgium,Start-up and other early stage,2017,91.53025945353642
BEL,Belgium,Later stage venture,2018,103.40993882100612
BEL,Belgium,Seed,2018,44.57888325564405
BEL,Belgium,Total,2018,361.35893474219006
BEL,Belgium,Start-up and other early stage,2018,213.3701126655399
BEL,Belgium,Later stage venture,2019,147.62275222672994
BEL,Belgium,Seed,2019,26.570593066024166
BEL,Belgium,Start-up and other early stage,2019,311.83718013506814
BEL,Belgium,Total,2019,486.0305254278222
BEL,Belgium,Start-up and other early stage,2020,281.9879329265897
BEL,Belgium,Seed,2020,28.822850409774272
BEL,Belgium,Total,2020,491.8883402794086
BEL,Belgium,Later stage venture,2020,181.07755694304467
BEL,Belgium,Later stage venture,2021,98.8676042154473
BEL,Belgium,Start-up and other early stage,2021,340.0863901907114
BEL,Belgium,Total,2021,460.4534101206189
BEL,Belgium,Seed,2021,21.49941571446018
BEL,Belgium,Start-up and other early stage,2022,160.1645177892824
BEL,Belgium,Total,2022,397.19713202202456
BEL,Belgium,Later stage venture,2022,215.8464865690227
BEL,Belgium,Seed,2022,21.186127663719457
BEL,Belgium,Total,2023,365.6332023686359
BEL,Belgium,Later stage venture,2023,197.90972176838991
BEL,Belgium,Start-up and other early stage,2023,142.82411318996782
BEL,Belgium,Seed,2023,24.89936741027817
BEL,Belgium,Seed,2024,24.28828207873983
BEL,Belgium,Start-up and other early stage,2024,313.69327643114906
BEL,Belgium,Later stage venture,2024,193.59413687491104
BEL,Belgium,Total,2024,531.5756953847999
BGR,Bulgaria,Seed,2007,0.0
BGR,Bulgaria,Start-up and other early stage,2007,0.0
BGR,Bulgaria,Later stage venture,2007,4.560841276167222
BGR,Bulgaria,Total,2007,4.560841276167222
BGR,Bulgaria,Seed,2008,0.0
BGR,Bulgaria,Start-up and other early stage,2008,2.856030629835734
BGR,Bulgaria,Later stage venture,2008,7.933534442475135
BGR,Bulgaria,Total,2008,10.78956507231087
BGR,Bulgaria,Seed,2009,2.789564851594452
BGR,Bulgaria,Start-up and other early stage,2009,5.600497769952119
BGR,Bulgaria,Later stage venture,2009,3.40018664978422
BGR,Bulgaria,Total,2009,11.79024927133079
BGR,Bulgaria,Seed,2010,0.0
BGR,Bulgaria,Total,2010,2.0675611992904925
BGR,Bulgaria,Later stage venture,2010,1.7321548825767012
BGR,Bulgaria,Start-up and other early stage,2010,0.3354063167137913
BGR,Bulgaria,Seed,2011,0.0487184337608167
BGR,Bulgaria,Start-up and other early stage,2011,0.1391955250309048
BGR,Bulgaria,Later stage venture,2011,2.3948729277092213
BGR,Bulgaria,Total,2011,2.582786886500943
BGR,Bulgaria,Seed,2012,0.0
BGR,Bulgaria,Later stage venture,2012,0.0
BGR,Bulgaria,Total,2012,0.0269805621238235
BGR,Bulgaria,Start-up and other early stage,2012,0.0269805621238235
BGR,Bulgaria,Seed,2013,0.0
BGR,Bulgaria,Later stage venture,2013,0.0
BGR,Bulgaria,Start-up and other early stage,2013,4.655053744156015
BGR,Bulgaria,Total,2013,4.655053744156015
BGR,Bulgaria,Later stage venture,2014,0.1793476051515009
BGR,Bulgaria,Seed,2014,1.564973917544208
BGR,Bulgaria,Start-up and other early stage,2014,1.198134997466549
BGR,Bulgaria,Total,2014,2.9424565201622577
BGR,Bulgaria,Later stage venture,2015,3.3285386843098745
BGR,Bulgaria,Start-up and other early stage,2015,6.01371522145844
BGR,Bulgaria,Seed,2015,0.0832134671077468
BGR,Bulgaria,Total,2015,9.425467372876062
BGR,Bulgaria,Later stage venture,2016,0.0
BGR,Bulgaria,Total,2016,6.198657406226711
BGR,Bulgaria,Start-up and other early stage,2016,5.036409142559203
BGR,Bulgaria,Seed,2016,1.1622482636675082
BGR,Bulgaria,Later stage venture,2017,0.0
BGR,Bulgaria,Start-up and other early stage,2017,0.9421540993345148
BGR,Bulgaria,Seed,2017,3.8070142604512256
BGR,Bulgaria,Total,2017,4.749168359785741
BGR,Bulgaria,Later stage venture,2018,0.0
BGR,Bulgaria,Start-up and other early stage,2018,0.850287244154916
BGR,Bulgaria,Seed,2018,4.004132537721134
BGR,Bulgaria,Total,2018,4.854419781876049
BGR,Bulgaria,Later stage venture,2019,0.0
BGR,Bulgaria,Start-up and other early stage,2019,1.6232380338866277
BGR,Bulgaria,Seed,2019,1.945646691651696
BGR,Bulgaria,Total,2019,3.568884725538324
BGR,Bulgaria,Later stage venture,2020,1.1084213661944675
BGR,Bulgaria,Seed,2020,3.96315777931492
BGR,Bulgaria,Total,2020,8.698245952285443
BGR,Bulgaria,Start-up and other early stage,2020,3.626666806776055
BGR,Bulgaria,Later stage venture,2021,0.0
BGR,Bulgaria,Start-up and other early stage,2021,10.562970903618565
BGR,Bulgaria,Seed,2021,10.54326645007853
BGR,Bulgaria,Total,2021,21.106237353697093
BGR,Bulgaria,Later stage venture,2022,0.0
BGR,Bulgaria,Start-up and other early stage,2022,6.963968624415723
BGR,Bulgaria,Seed,2022,5.4989041712573
BGR,Bulgaria,Total,2022,12.462872795673023
BGR,Bulgaria,Later stage venture,2023,7.212061733172399
BGR,Bulgaria,Seed,2023,0.9731417630967256
BGR,Bulgaria,Start-up and other early stage,2023,18.309359517449707
BGR,Bulgaria,Total,2023,26.49456301371883
BGR,Bulgaria,Total,2024,31.82092491467189
BGR,Bulgaria,Later stage venture,2024,27.55867300371565
BGR,Bulgaria,Start-up and other early stage,2024,2.124301546651329
BGR,Bulgaria,Seed,2024,2.1379503643049107
CAN,Canada,Total,2007,1732.6331073348636
CAN,Canada,Seed,2007,56.026484238164855
CAN,Canada,Start-up and other early stage,2007,588.6723880499601
CAN,Canada,Later stage venture,2007,1087.9342350467386
CAN,Canada,Later stage venture,2008,656.7065783169753
CAN,Canada,Start-up and other early stage,2008,472.7234403735358
CAN,Canada,Seed,2008,45.88660874973522
CAN,Canada,Total,2008,1175.3166274402463
CAN,Canada,Total,2009,812.0361329833826
CAN,Canada,Seed,2009,15.535216730596208
CAN,Canada,Start-up and other early stage,2009,378.1485849834479
CAN,Canada,Later stage venture,2009,418.3523312693384
CAN,Canada,Later stage venture,2010,615.659796616048
CAN,Canada,Start-up and other early stage,2010,424.0584384967416
CAN,Canada,Seed,2010,15.888552159834465
CAN,Canada,Total,2010,1055.606787272624
CAN,Canada,Total,2011,1406.9724731914266
CAN,Canada,Seed,2011,25.256299124184128
CAN,Canada,Start-up and other early stage,2011,413.022622931915
CAN,Canada,Later stage venture,2011,968.6935511353274
CAN,Canada,Later stage venture,2013,624.4320720491102
CAN,Canada,Start-up and other early stage,2013,872.5211412582873
CAN,Canada,Seed,2013,80.2278406833045
CAN,Canada,Total,2013,1577.181053990702
CAN,Canada,Total,2014,1638.3336908963038
CAN,Canada,Seed,2014,124.18572203034373
CAN,Canada,Start-up and other early stage,2014,874.3211346473468
CAN,Canada,Later stage venture,2014,639.8268342186134
CAN,Canada,Later stage venture,2015,541.3376774788467
CAN,Canada,Start-up and other early stage,2015,952.750150807062
CAN,Canada,Seed,2015,121.33454224013286
CAN,Canada,Total,2015,1615.4223705260415
CAN,Canada,Total,2016,2270.8069347215287
CAN,Canada,Seed,2016,158.66350947585647
CAN,Canada,Start-up and other early stage,2016,1169.004332448944
CAN,Canada,Later stage venture,2016,943.1390927967284
CAN,Canada,Later stage venture,2017,1037.995149298018
CAN,Canada,Start-up and other early stage,2017,1552.0143161158464
CAN,Canada,Seed,2017,184.10526791443505
CAN,Canada,Total,2017,2774.1147333283
CAN,Canada,Total,2018,2681.934689389565
CAN,Canada,Seed,2018,225.46647706904244
CAN,Canada,Start-up and other early stage,2018,1319.09294849778
CAN,Canada,Later stage venture,2018,1137.3752638227425
CAN,Canada,Later stage venture,2019,1585.500020892477
CAN,Canada,Start-up and other early stage,2019,2048.5555995697705
CAN,Canada,Seed,2019,258.68183233898526
CAN,Canada,Total,2019,3892.737452801233
CAN,Canada,Total,2020,2984.0333831643416
CAN,Canada,Seed,2020,261.2084886652016
CAN,Canada,Start-up and other early stage,2020,1374.1350395253585
CAN,Canada,Later stage venture,2020,1348.6898549737816
CAN,Canada,Later stage venture,2021,3928.63115190972
CAN,Canada,Start-up and other early stage,2021,4923.6741697689695
CAN,Canada,Seed,2021,701.9620014532519
CAN,Canada,Total,2021,9554.267323131942
CAN,Canada,Total,2022,7187.286789859774
CAN,Canada,Seed,2022,780.2691311253831
CAN,Canada,Start-up and other early stage,2022,3095.967666731374
CAN,Canada,Later stage venture,2022,3311.049992003017
CAN,Canada,Later stage venture,2023,1773.7775494940088
CAN,Canada,Start-up and other early stage,2023,2343.3056146673757
CAN,Canada,Seed,2023,827.1936421564039
CAN,Canada,Total,2023,4944.276806317788
CAN,Canada,Total,2024,4477.015844784158
CAN,Canada,Seed,2024,471.3514495171704
CAN,Canada,Start-up and other early stage,2024,2411.00121920479
CAN,Canada,Later stage venture,2024,1594.6631760621972
CHE,Switzerland,Start-up and other early stage,2007,136.6929049255529
CHE,Switzerland,Seed,2007,15.865243087171722
CHE,Switzerland,Total,2007,351.7638874651145
CHE,Switzerland,Later stage venture,2007,199.2057394523899
CHE,Switzerland,Seed,2008,25.36934052560212
CHE,Switzerland,Total,2008,208.4859707871489
CHE,Switzerland,Start-up and other early stage,2008,119.91410552741084
CHE,Switzerland,Later stage venture,2008,63.20252473413596
CHE,Switzerland,Later stage venture,2009,76.67124573737055
CHE,Switzerland,Start-up and other early stage,2009,160.23303745813735
CHE,Switzerland,Total,2009,246.37683645771568
CHE,Switzerland,Seed,2009,9.472553262207796
CHE,Switzerland,Later stage venture,2010,79.35327669898248
CHE,Switzerland,Seed,2010,8.900185585750478
CHE,Switzerland,Start-up and other early stage,2010,125.42422436195542
CHE,Switzerland,Total,2010,213.6776866466884
CHE,Switzerland,Later stage venture,2011,49.036022270727216
CHE,Switzerland,Start-up and other early stage,2011,190.44595323113876
CHE,Switzerland,Seed,2011,9.53838727229526
CHE,Switzerland,Total,2011,249.0203627741612
CHE,Switzerland,Seed,2012,16.1423161440429
CHE,Switzerland,Total,2012,143.6349924631727
CHE,Switzerland,Start-up and other early stage,2012,45.77367995287191
CHE,Switzerland,Later stage venture,2012,81.71899636625787
CHE,Switzerland,Later stage venture,2013,96.54415450624076
CHE,Switzerland,Seed,2013,10.777890425798894
CHE,Switzerland,Start-up and other early stage,2013,94.15888106161049
CHE,Switzerland,Total,2013,201.48092599365012
CHE,Switzerland,Start-up and other early stage,2014,85.59453465407567
CHE,Switzerland,Seed,2014,4.646564324280663
CHE,Switzerland,Total,2014,202.9440374360892
CHE,Switzerland,Later stage venture,2014,112.7029384577328
CHE,Switzerland,Start-up and other early stage,2015,170.60715718808692
CHE,Switzerland,Total,2015,326.5803385749607
CHE,Switzerland,Later stage venture,2015,150.53993002657214
CHE,Switzerland,Seed,2015,5.433251360301641
CHE,Switzerland,Later stage venture,2016,217.8500102897713
CHE,Switzerland,Start-up and other early stage,2016,133.2882248178657
CHE,Switzerland,Total,2016,357.7865719015922
CHE,Switzerland,Seed,2016,6.648336793955211
CHE,Switzerland,Later stage venture,2017,144.3388552789284
CHE,Switzerland,Seed,2017,14.247798796462533
CHE,Switzerland,Start-up and other early stage,2017,170.71694458838155
CHE,Switzerland,Total,2017,329.3035986637725
CHE,Switzerland,Later stage venture,2018,87.14852594380497
CHE,Switzerland,Seed,2018,37.76654718910567
CHE,Switzerland,Start-up and other early stage,2018,370.7420670532505
CHE,Switzerland,Total,2018,495.6571401861611
CHE,Switzerland,Start-up and other early stage,2019,361.9060244587716
CHE,Switzerland,Seed,2019,24.1884296801977
CHE,Switzerland,Total,2019,510.13558784154856
CHE,Switzerland,Later stage venture,2019,124.04113370257927
CHE,Switzerland,Later stage venture,2020,124.57231609043636
CHE,Switzerland,Start-up and other early stage,2020,379.276530702688
CHE,Switzerland,Total,2020,603.7632277730921
CHE,Switzerland,Seed,2020,99.91438097996772
CHE,Switzerland,Later stage venture,2021,349.24174637094467
CHE,Switzerland,Start-up and other early stage,2021,363.7215865269037
CHE,Switzerland,Total,2021,768.3276196331769
CHE,Switzerland,Seed,2021,55.36428673532851
CHE,Switzerland,Seed,2022,59.16939208818229
CHE,Switzerland,Start-up and other early stage,2022,465.6826137720335
CHE,Switzerland,Total,2022,886.4493016313039
CHE,Switzerland,Later stage venture,2022,361.59729577108817
CHE,Switzerland,Later stage venture,2023,401.0606012571519
CHE,Switzerland,Start-up and other early stage,2023,327.48335289636606
CHE,Switzerland,Total,2023,789.292112461106
CHE,Switzerland,Seed,2023,60.74815830758796
CHE,Switzerland,Seed,2024,118.70045504898287
CHE,Switzerland,Total,2024,1100.1166210831154
CHE,Switzerland,Start-up and other early stage,2024,423.6717040473072
CHE,Switzerland,Later stage venture,2024,557.7444619868254
CZE,Czechia,Seed,2007,0.0
CZE,Czechia,Start-up and other early stage,2007,0.6852390195929022
CZE,Czechia,Later stage venture,2007,2.777383384653168
CZE,Czechia,Total,2007,3.46262240424607
CZE,Czechia,Seed,2008,0.0
CZE,Czechia,Start-up and other early stage,2008,0.0
CZE,Czechia,Later stage venture,2008,48.94874223051362
CZE,Czechia,Total,2008,48.94874223051362
CZE,Czechia,Seed,2009,0.0
CZE,Czechia,Start-up and other early stage,2009,0.0
CZE,Czechia,Later stage venture,2009,0.2381451513806184
CZE,Czechia,Total,2009,0.2381451513806184
CZE,Czechia,Seed,2010,0.0
CZE,Czechia,Later stage venture,2010,0.0
CZE,Czechia,Start-up and other early stage,2010,17.42081848978096
CZE,Czechia,Total,2010,17.42081848978096
CZE,Czechia,Seed,2011,0.0
CZE,Czechia,Start-up and other early stage,2011,3.78263839271484
CZE,Czechia,Later stage venture,2011,1.0216951537268415
CZE,Czechia,Total,2011,4.804333546441681
CZE,Czechia,Seed,2012,0.0
CZE,Czechia,Later stage venture,2012,6.583783921568688
CZE,Czechia,Total,2012,6.747568781547023
CZE,Czechia,Start-up and other early stage,2012,0.1637848599783343
CZE,Czechia,Start-up and other early stage,2013,1.3782810625029351
CZE,Czechia,Later stage venture,2013,1.0624944351853955
CZE,Czechia,Total,2013,5.896326149241792
CZE,Czechia,Seed,2013,3.455550651553462
CZE,Czechia,Seed,2014,0.0
CZE,Czechia,Later stage venture,2014,3.454102025140018
CZE,Czechia,Start-up and other early stage,2014,6.3782650895768205
CZE,Czechia,Total,2014,9.832367114716838
CZE,Czechia,Later stage venture,2015,0.077665902633897
CZE,Czechia,Start-up and other early stage,2015,4.109180861941069
CZE,Czechia,Total,2015,5.510340316230259
CZE,Czechia,Seed,2015,1.3234935516552926
CZE,Czechia,Later stage venture,2016,0.0
CZE,Czechia,Seed,2016,0.9459040511591136
CZE,Czechia,Start-up and other early stage,2016,7.815621466765277
CZE,Czechia,Total,2016,8.76152551792439
CZE,Czechia,Later stage venture,2017,0.0
CZE,Czechia,Start-up and other early stage,2017,3.0416891553239425
CZE,Czechia,Seed,2017,3.857849913293016
CZE,Czechia,Total,2017,6.899539068616958
CZE,Czechia,Later stage venture,2018,0.0
CZE,Czechia,Seed,2018,1.3586291111639208
CZE,Czechia,Start-up and other early stage,2018,13.536135973779125
CZE,Czechia,Total,2018,14.894765084943046
CZE,Czechia,Later stage venture,2019,14.698263670412556
CZE,Czechia,Start-up and other early stage,2019,11.71464021667832
CZE,Czechia,Total,2019,32.6462610794112
CZE,Czechia,Seed,2019,6.233357192320326
CZE,Czechia,Seed,2020,3.9439117749453354
CZE,Czechia,Total,2020,20.135078395771863
CZE,Czechia,Start-up and other early stage,2020,11.166006325025151
CZE,Czechia,Later stage venture,2020,5.025160295801377
CZE,Czechia,Total,2021,131.5485285326756
CZE,Czechia,Later stage venture,2021,20.040824883777432
CZE,Czechia,Seed,2021,6.004618790143241
CZE,Czechia,Start-up and other early stage,2021,105.50308485875492
CZE,Czechia,Later stage venture,2022,42.46162756565429
CZE,Czechia,Seed,2022,10.838155637956612
CZE,Czechia,Start-up and other early stage,2022,23.479098958929782
CZE,Czechia,Total,2022,76.77888216254068
CZE,Czechia,Start-up and other early stage,2023,9.447400801064346
CZE,Czechia,Seed,2023,5.080567704089129
CZE,Czechia,Total,2023,65.23654762346024
CZE,Czechia,Later stage venture,2023,50.70857911830676
CZE,Czechia,Later stage venture,2024,8.142899765453565
CZE,Czechia,Total,2024,22.6738466735553
CZE,Czechia,Seed,2024,7.822233729129202
CZE,Czechia,Start-up and other early stage,2024,6.708713178972531
DEU,Germany,Start-up and other early stage,2007,428.8134510774972
DEU,Germany,Seed,2007,68.52139398447852
DEU,Germany,Total,2007,1077.8721519410626
