Country,Name,Description,City,Founders,Funding,Funding rounds,Industries,Number of employees,Number of investors,Started in
Austria,1) Bitpanda,Bitpanda is a digital asset exchange that makes it easy to purchase and sell bitcoins.,Vienna,"Christian Trummer, Eric Demuth, Paul Klanschek","$283,013,472",5,"Bitcoin, Blockchain, Cryptocurrency, FinTech",251-500,"6 (DST Global, Wintermute Trading, Speedinvest, Jump Capital, Valar Ventures)",2014
Austria,2) Tractive,Tractive is a company that creates GPS tracking gadgets for dogs and cats.,Pasching,"Michael Hurnaus, Michael Lettner, Michael Tschernuth","$37,687,997",5,"GPS, Pet, Software, Wearables",51-100,"5 (Guidepost Growth Equity, Monkfish Equity, Harold Primat, Johann ""Hansi"" Hansmann, Attila Balogh)",2012
Austria,3) GoStudent,"In a virtual learning environment, GoStudent is a digital school that connects students with teachers.",Vienna,"Felix Ohswald, Gregor Müller, Moritz Ohswald","$100,662,844",6,"Apps, Continuing Education, EdTech, Education",251-500,"7 (DN Capital, Coatue, Speedinvest, Left Lane Capital, NFQ Capital)",2016
Austria,4) Allcyte,Allcyte is a biotech start-up focused on patient-centric precision medicine and medication discovery employing high-content imaging and artificial intelligence.,Vienna,"Berend Snijder, Giulio Superti-Furga, Gregory Vladimer, Nikolaus Krall","$6,000,000",2,"Biotechnology, Health Diagnostics, Machine Learning, Pharmaceutical",11-50,"5 (42CAP, Air Street Capital, PUSH Ventures, Amino Collective, Venture Partners AG)",2017
Austria,5) Adverity,Adverity is a data-driven marketing analytics tool that helps marketers make better decisions and enhance their results.,Vienna,"Alexander Igelsböck, Andreas Glänzer, Martin Brunthaler, Vlad Gozman","$46,298,685",4,"Advertising, Analytics, Artificial Intelligence, Big Data, Business Intelligence, Data Integration, Data Visualization, SaaS, Software",101-250,"7 (Sapphire Ventures, Speedinvest, Felix Capital, 42CAP, aws Gründerfonds (aws Founders Fund))",2015
Austria,6) PlanRadar,PlanRadar is a SaaS service for construction and real estate project documentation and communication.,Vienna,"Clemens Hammerl, Constantin Köck, Domagoj Dolinsek, Ibrahim Imam, Sander van de Rijdt","€ 31,200,000",4,"Android, Architecture, Building Maintenance, Collaboration, Construction, iOS, Real Estate, SaaS, Software, Task Management",101-250,"6 (Insight Partners, Headline, Cavalry Ventures, Redstone, aws Gründerfonds (aws Founders Fund))",2013
Austria,7) refurbed,"Refurbed is an online marketplace for refurbished electronics, which are previously owned items that have been entirely reconditioned and resold.",Vienna,"Jürgen Riedl, Kilian Kaminski, Peter Windischhofer","$19,239,651",3,"Apps, E-Commerce, Electronics, Marketplace, Software",51-100,"10 (FJ Labs, Speedinvest, All Iron Ventures, Almaz Capital, Inventure Partners)",2017
Austria,8) TourRadar,TourRadar is a website that allows you to compare and book multi-day trips in over 200 countries around the world.,Vienna,"Shawn Pittman, Travis Pittman","$66,500,000",5,"Marketplace, Search Engine, Tourism, Travel",251-500,"14 (TCV, Speedinvest, Cherry Ventures, Endeit Capital, Hoxton Ventures)",2010
Austria,9) byrd,byrd is a member of an international e-commerce fulfillment network that provides a scalable and robust logistics solution to online retailers.,Vienna,"Alexander Leichter, Christoph Krofitsch, Petra Dobrocka, Sebastian Mach","€ 6,870,000",3,"E-Commerce, Logistics, Supply Chain Management",51-100,"8 (FJ Labs, Speedinvest, VentureFriends, CM Ventures, Reflex Capital)",2016
Austria,10) Mimo,Mimo is a program that teaches computer science through a series of entertaining and unusual tasks.,Vienna,"Dennis Daume, Henry Ameseder, Johannes Berger, Lorenz Schimik","$650,000",2,"E-Learning, Information Technology, Mobile Apps",11-50,"8 (Techstars, Techstars Berlin Accelerator, PUSH Ventures, Johann ""Hansi"" Hansmann, Alfred Luger)",2016
