country,company_name,city,funding_amount,industry_tags,start_year,status,website
Italy,Socioviz,Milan,,"Analytics, Digital Marketing, Information Technology, Non Profit",2019,True,https://socioviz.net
UK,Socital,London,1750000.0,"Analytics, Artificial Intelligence, E-Commerce, Marketing Automation, Personalization, SaaS, Software",2016,True,http://www.socital.com
Netherlands,Socius,Oslo,,"Social Media, Content Marketing, AdTech",2016,True,www.socius.co
UK,Sock Geeks,Waterlooville,50000.0,"Subscription Business, Subscription Box, Subscription Commerce",2017,True,https://sockgeeks.co.uk
Germany,Sockstock,Düsseldorf,,"sockstock, online shop socks, mens socks, female socks, baby socks",2019,True,https://www.sockstock.net/en/
Italy,Socopet,Rivalta Scrivia,300000.0,"Packaging Services, Plastics, Rubber Manufacturing",2015,True,https://www.socojars.com/
Belgium,Socrai,Zellik,,"Cyber Security, E-Learning, SaaS",2019,True,https://socrai.com
UK,Socratic Owl,London,,"Education, Socratic Owl, AI homework helper, AI tutor",2024,True,https://apps.apple.com/us/app/socratic-owl-question-answer/id6502917782
Italy,Socyza,Florence,50000.0,"Internet, Software, Online",2017,True,https://www.socyza.com/
Belgium,Soda,Brussels,17500000.0,"Data Analytics, Monitoring Platform, Data Protection",2018,True,www.soda.io
UK,Soda Says,UK,,"Tech, Products, Services",2017,True,https://sodasays.com/
UK,Sofetech,London,50000.0,"Blockchain, Technology, Information and Internet,",2025,True,https://www.transfero.me/
Bulgaria,Sofia2Go,Sofia,300000.0,"Food, Beverage Services, Marketplace, Consulting",2021,True,https://www.foody.to
Slovakia,Soficreo,Bratislava,750000.0,"Ed-Tech, Future of Educatin, Children On The Move, Migration",2022,True,https://www.soficreo.com
Belgium,Sofitto,Leuven,,"Blockchain, Fintech, Cryptocurrency, Banking, Sofitto, Leuven",2016,True,https://sofitto.com
Poland,Soft Edge,Kraków,,"InsureTech, Car Hail Damage assessment, PDR, AI, AR",2014,True,https://www.soft-edge.com
Netherlands,Softark,Rotterdam,,"Automation, Software Engineering, Agency, Ai, Ai-Agents",2025,True,https://softark.nl
Bulgaria,Softaware,Sofia,,"Blockchain, IT, Software, Mobile Apps",2021,True,https://softaware.io/
France,Softbuilder,Paris,,"software engineers, Salesforce metadata",2019,True,https://soft-builder.com/
Italy,Softcare Studios,Rome,,"Health Care, Information Technology, Virtual Reality",2017,True,https://www.softcarestudios.com/
UK,Softdroom Ltd,"London, England. United Kingdom.",,"Software Development Conglomerate, SAAS, Software as a Service, Softdroom",2019,True,www.softdroom.com
Austria,Softgen,Austria,,"AI code assistant, full stack developer",2024,True,https://softgen.ai/
Romania,Softlead,Bucharest,,"Software, digital transformation, digital DNA",2019,True,www.softlead.ro
Denmark,Softpay,Copenhagen,,"Mobile Apps, Mobile Devices, Mobile Payments",2019,True,https://softpay.io/
Spain,Softqbits,"Madrid, Spain",,"software, organizational, softqbits",2017,True,http://www.softqbits.technology
Germany,Softr,Berlin,,"responsive, web applications, web development",2018,True,https://www.softr.io
Poland,Software Development Academy,Gdynia,,"education, teaching, software",2015,True,https://sdacademy.dev
UK,Software Job,London,,"Software Job, It Jobs, Software Development",2020,True,https://softwarejob.co.uk
Poland,Softwarehut,Bialystok,,"Software Development, Solutions",2015,True,SoftwareHut.com
Netherlands,Softwarematchingio,Arnhem,750000.0,"advice, software, consultant, online",2023,True,https://www.softwarematching.io/
Spain,Softwariza3,Alicante,,"Cloud Computing, CRM, Enterprise Resource Planning (ERP), Enterprise Software",2020,True,https://softwariza3.es
Switzerland,Sogur,Zug,25000000.0,"Cryptocurrency, Digital Signage, Financial Services, Professional Services, Virtual Currency",2017,True,https://www.sogur.com
Switzerland,Sohhytec,Ecublens,300000.0,"solar fuel, technology, electrochemical device, fossil fuels",2020,True,https://www.sohhytec.com/
Finland,Soil Scout,Helsinki,,"Wireless Sensors, Remote Monitoring, Underground Sensors, Water Saving",2013,True,http://www.soilscout.com/
Denmark,Soilsense,Copenhagen,300000.0,"soil sensors, agriculture, agtech",2017,True,https://soilsense.io/
Netherlands,Soilspect,Noordwijk,50000.0,BigData,2019,True,https://soilspect.nl/
Germany,Soilytix,Hamburg,7500000.0,Agritech,2021,True,https://soilytix.com/
Italy,Soisy,Milan,1750000.0,"Financial Services, FinTech, E-Commerce",2015,True,https://www.soisy.it/
Poland,Sojo,Chiswick,1750000.0,Fashion,2020,True,https://home.sojo.uk
Belgium,Sokari,Belgium,300000.0,"Self-monitoring diary, Graphical visualization, Mobile App",2024,True,https://www.sokaricare.com/
Hungary,Soke Fashion,Nyiregyhaza,,"fashion, innovation, digital fabric,",2023,True,http://soke.fashion
Spain,Sokjo,Barcelona,,"Banking, Finance, FinTech, Mobile",2020,True,https://www.sokjo.com/
Austria,Sola Diagnostics,Zams,,"Biotechnology, Appeal, Particularly",2020,True,https://www.sola-diagnostics.com/
Germany,Solaga,Berlin,,"algae, biofilm,",2017,True,https://www.solaga.de
France,Solaire Box,Paris,,"Eco-Construction, GreenTech, Eco Houses",2014,True,www.solairebox.fr
UK,Solamove,London,50000.0,"Renewable Energy, Transportation",2021,True,http://www.solamove.com/
UK,Solar,England,50000.0,"AI-powered development, No-code/Low-code, Collaborative development, Rapid prototyping, Full-stack development",2024,True,https://try.solar
Germany,Solar Materials,Magdeburg,50000.0,"Assistive Technology, Recycling, Solar, Sustainability",2021,True,https://solar-materials.com/
Netherlands,Solar Monkey,Delft,,"Solar Energy, Clean Tech, Green Tech, Smart Energy",2015,True,www.solarmonkey.nl
Cyprus,Solar Staff,Limassol,,"Fintech, Freelancers, HR, Gig economy",2014,True,https://solar-staff.com
Germany,Solar Wifi Eco Bin,Berlin,,"solar, waste management, wifi, IoT",2017,True,https://solaroutdoormedia.de/solarwifiecobin
Lithuania,Solaraide,Vilnius,,"CleanTech, Energy",2020,True,https://www.solaraide.tech
Netherlands,Solarcreed,Amsterdam,300000.0,"Agriculture, E-Commerce, Product Design",2017,True,https://solarcreed.com/
Spain,Solardesk,Sevilla,,"energy monitoring, software, efficientcy",2020,True,https://solardesk.es/en/home/
Netherlands,Solarduck,Nijmegen,7500000.0,"renewables, energy, maritime",2019,True,solarduck.tech
Netherlands,Solarge,Eindhoven,,"Manufacturing, Renewable, Solar",2018,True,https://solarge.com/
Denmark,Solarhr,Copenhagen,,"Human Resources Services, Payroll, online platform",2022,True,https://solarhr.io/
Germany,Solarimo,Berlin,,"Commercial, Industrial, Solar",2017,True,https://solarimo.de/
Germany,Solaris Bank,Berlin,,"fintech, banking, mobile",2016,True,https://www.solarisbank.de
Germany,Solaris Digital Assets,Berlin,,"Banking, Cryptocurrency, Technical Support",2019,True,https://www.solarisdigitalassets.com/de/
UK,Solaris Offgrid,London,1750000.0,"Clean Energy, Solar",2014,True,http://www.solarisoffgrid.com/
Germany,Solarisbank,Berlin,,"Fintech, BaaS, Banking, Digital Products",2016,True,www.solarisbank.com
