name,company_number,jurisdiction_code,incorporation_date,company_type,branch,inactive,registered_address_street_address,registered_address_locality,registered_address_region,registered_address_postal_code,registered_address_country,country,started_in_year
FEST COFFEE MISSION SP. Z O.O.,0787781936,be,2022-06-15,Entité étrangère,F,False,UL. LUBICZ 27,KRAKOW,,31-503,Pologne ( Rép. ),Belgium,2022.0
KOON,0807287943,be,2008-10-20,Société privée à responsabilité limitée,,False,Geebroek 39,Tongeren,,3700,Belgium,Belgium,2008.0
MAS,0597840494,be,2015-02-04,Société privée à responsabilité limitée,,False,Sint-Hubertusstraat 66,Bilzen-Hoeselt,,3730,Belgium,Belgium,2015.0
MPULS MENEN-WERVIK,0405501174,be,1968-01-01,Société à responsabilité limitée,,False,Volkslaan 302,Menen,,8930,Belgium,Belgium,1968.0
Nspire,0840749181,be,2011-11-02,Société privée à responsabilité limitée,,False,Morgenstraat 20,Lummen,,3560,Belgium,Belgium,2011.0
R5,0712942179,be,2018-11-08,Société anonyme,,False,Bosveld(STG) 2,Dendermonde,,9200,Belgium,Belgium,2018.0
SELL,0883972975,be,2006-10-04,Société à responsabilité limitée,,False,Bosdreef 35,Kapellen,,2950,Belgium,Belgium,2006.0
UKBUM,0793816326,be,2022-10-25,Association sans but lucratif,,False,Heilig Geesthoek 35,Beveren-Kruibeke-Zwijndrecht,,2070,Belgium,Belgium,2022.0
kweu,0803191375,be,2023-06-26,Association sans but lucratif,,False,Ter Platen 3,Gent,,9000,Belgium,Belgium,2023.0
mpaktMasjien,0551893277,be,2014-05-05,Association sans but lucratif,,False,Kerkstraat 166,Gent,,9050,Belgium,Belgium,2014.0
""" 'T ZEEPAARDJE-LE LIS'"" BTW GROEP",0820966428,be,2010-01-01,Activités,,False,Kleine Gasmeterstraat 2,Hamme (Vl.),,9220,Belgium,Belgium,2010.0
""" 01-SERVICES """,0831932970,be,2010-12-16,Société privée à responsabilité limitée,,False,Clos des Chardonnerets 2,Liège,,4000,Belgium,Belgium,2010.0
""" ACP Gray 83 "" sise rue Gray 83 à 1050 Ixelles",0755626931,be,2020-09-28,Association des copropriétaires,,False,Rue Gray 83,Ixelles,,1050,Belgium,Belgium,2020.0
""" ARJEPA """,0884336726,be,2006-10-17,Société anonyme,,False,Rue Sainte-Marie 5,Liège,,4000,Belgium,Belgium,2006.0
""" ASSOCIATES ENTREPRISES CONSULTANTS ACCOMPLISHMENT GROWTH "", en abrégé « AEC-AG »",0445911176,be,1991-12-10,Société à responsabilité limitée,,False,Boulevard du Souverain 348,Auderghem,,1160,Belgium,Belgium,1991.0
""" ASSOCIATION DES COPROPRIETAIRES DE LA RESIDENCE LOUIS BERTRAND, numéros 71/73"". sise à La Louvière, rue Louis Bertra",0644586972,be,2015-12-10,Association des copropriétaires,,False,Rue Louis Bertrand(L.L) 71/73,La Louvière,,7100,Belgium,Belgium,2015.0
""" Akontio """,0733855973,be,2019-09-09,Société à responsabilité limitée,,False,Camp de Corroy 11,Huy,,4500,Belgium,Belgium,2019.0
""" Andrew Thirion Aménagements et Design """,1026085004,be,2025-07-31,Société à responsabilité limitée,,False,Cowan 7,Houffalize,,6662,,Belgium,2025.0
""" ArtVan Consult """,0764308926,be,2021-02-24,Société à responsabilité limitée,,False,Rue Théophile Vander Elst 32,Watermael-Boitsfort,,1170,Belgium,Belgium,2021.0
""" BAR DE JULE"" FOODTRUCK",0646806193,be,2016-01-01,Société ou association sans personnalité juridique,,False,Mechelseweg 356,Kapelle-op-den-Bos,,1880,Belgium,Belgium,2016.0
""" BATIMENTO """,0822163288,be,2010-01-12,Société privée à responsabilité limitée,,True,Rue de l'escadron 609 9,Waremme,,4300,Belgium,Belgium,2010.0
""" BENEX """,0847385664,be,2012-07-13,Société à responsabilité limitée,,False,Rue de Labliau(Hoves) 26,Silly,,7830,Belgium,Belgium,2012.0
""" CB CERATIZIT BELGIUM """,0830793122,be,2010-11-02,Société privée à responsabilité limitée,,False,Drève du Bois de Neuville(N) 40,Neupré,,4121,Belgium,Belgium,2010.0
""" COLLAM """,1025599212,be,2025-07-16,Société à responsabilité limitée,,False,Reibroekstraat 64,Deinze,,9850,,Belgium,2025.0
""" CONGO NOTRE MAISON """,0831085112,be,2010-11-15,Association sans but lucratif,,False,Rue de Renory 146,Liège,,4031,Belgium,Belgium,2010.0
""" CONRAD F MANAGEMENT""",0883910223,be,2006-10-03,Société privée à responsabilité limitée,,True,Haantjeslei 68,Antwerpen,,2018,Belgium,Belgium,2006.0
""" Cabinet Conseil LR s.p.r.l. """,0831420157,be,2010-11-24,Société privée à responsabilité limitée,,False,Rue de Limal 55,Rixensart,,1330,Belgium,Belgium,2010.0
""" Citoyens sans Frontières """,0831544475,be,2010-12-01,Association sans but lucratif,,False,Avenue de la Sarte 17,Chaudfontaine,,4053,Belgium,Belgium,2010.0
""" DG LIMOUSINES""",0895493211,be,2008-02-05,Société privée à responsabilité limitée,,False,Rue Roujuste(CAR) 13,Morlanwelz,,7141,Belgium,Belgium,2008.0
""" De Wolf - Durnez Ramen en Deuren""",0715605622,be,2018-12-07,Société à responsabilité limitée,,False,Misweg 3,Heist-op-den-Berg,,2220,Belgium,Belgium,2018.0
""" E.M.B.I. """,0830344249,be,2010-10-18,Société privée à responsabilité limitée,,True,Rue de Remouchamps(LVG) 38,Sprimont,,4141,Belgium,Belgium,2010.0
""" E3P """,0766313262,be,2021-04-02,Société à responsabilité limitée,,False,Rue de Richelle(RIC) 24,Visé,,4600,Belgium,Belgium,2021.0
""" ECO CLEANING SYSTEM SPRL """,0830830338,be,2010-11-03,Société privée à responsabilité limitée,,True,Industriestrasse 25,Eupen,,4700,Belgium,Belgium,2010.0
""" Entre Nous "" Amis du Jumelage Jumet - Saint Junien",0542413805,be,2013-11-22,Association sans but lucratif,,False,Rue De Paepe César 59,Charleroi,,6040,Belgium,Belgium,2013.0
