item,itemLabel,website,industryLabel,hqLabel,ownedByLabel,memberOfLabel,inception,dissolved,revenue,revenue_date_parsed,country
http://www.wikidata.org/entity/Q1000428,MySQL AB,mysql.com,Software Industry,Solna Municipality,Oracle America,,2001-01-01 00:00:00+00:00,,,,Sweden
http://www.wikidata.org/entity/Q1000752,Ferrovie della Calabria,ferroviedellacalabria.it,Public Transport,Catanzaro,,,2001-01-01 00:00:00+00:00,,,,Italy
http://www.wikidata.org/entity/Q100094013,Telia Danmark,telia.dk,Telecommunications,Copenhagen,Norlys Energi,,1995-05-01 00:00:00+00:00,,,,Denmark
http://www.wikidata.org/entity/Q100142778,Brownies&downieS,browniesanddownies.nl,Horeca,Veghel,,,2010-01-01 00:00:00+00:00,,,,Netherlands
http://www.wikidata.org/entity/Q100166679,librerie.coop,librerie.coop,Book Retail Industry,Villanova,Coop Alleanza 3.0,,2006-01-01 00:00:00+00:00,,,,Italy
http://www.wikidata.org/entity/Q100235340,Cleverclip,cleverclipstudios.com,Graphic Design,Bern,Carlo Badini,,2013-04-01 00:00:00+00:00,,,,Switzerland
http://www.wikidata.org/entity/Q100324445,Brut Butcher,brutbutcher.com,"Fast Food, Franchising",Andrézieux-Bouthéon,,,2017-03-16 00:00:00+00:00,,,,France
http://www.wikidata.org/entity/Q100329009,Foggo Associates,foggo.com,Construction Industry,London,,,1989-01-17 00:00:00+00:00,,,,United Kingdom
http://www.wikidata.org/entity/Q100329118,Candela Technology AB,candela.com,Boat Manufacturing Company,Stockholm,,,2014-01-01 00:00:00+00:00,,,,Sweden
http://www.wikidata.org/entity/Q100371254,Drangedal Sparebank,drangedalsparebank.no,Banking,Prestestranda,,,1935-12-16 00:00:00+00:00,,,,Norway
http://www.wikidata.org/entity/Q100466633,Vestre AS,vestre.com/no,Furniture Manufacturer,Oslo,,,1947-01-01 00:00:00+00:00,,,,Norway
http://www.wikidata.org/entity/Q1006210,Bundesimmobiliengesellschaft,big.at,Real Estate Company,Vienna,Österreichische Beteiligungs AG,,1992-07-17 00:00:00+00:00,,,,Austria
http://www.wikidata.org/entity/Q100840751,Distillerie du Gorvello,distilleriedugorvello.fr,Cultivation Of Pome Fruits And Stone Fruits,Q3223138,,,2011-12-12 00:00:00+00:00,,,,France
http://www.wikidata.org/entity/Q100991013,Deepnight Games,deepnight.net,Q112165928,Bordeaux,,,2020-06-08 00:00:00+00:00,,,,France
http://www.wikidata.org/entity/Q100991019,Arctic Train,arctictrain.com,"Public Transport, Rail Transport","Narvik, Narvik Station",,,2019-03-26 00:00:00+00:00,,,,Norway
http://www.wikidata.org/entity/Q1010409,Burckhardt Compression,burckhardtcompression.com,Mechanical Engineering,Winterthur,,,1844-01-01 00:00:00+00:00,,,,Switzerland
http://www.wikidata.org/entity/Q1010514,Bureau of International Expositions,bie-paris.org,Activities Of Extraterritorial Organizations And Bodies,Paris,,,1928-11-22 00:00:00+00:00,,,,France
http://www.wikidata.org/entity/Q101069819,Holzindustrie Maresch,maresch.co.at,Wood Processing,Retz,,,1974-01-01 00:00:00+00:00,,,,Austria
http://www.wikidata.org/entity/Q101125400,EroticFeel,eroticfeel.com/es,Sex Shop,León,,,2019-01-01 00:00:00+00:00,,,,Spain
http://www.wikidata.org/entity/Q101229953,Q101229953,rygrbrewery.com,Brewing Industry,Klepp Municipality,,,2017-01-01 00:00:00+00:00,,,,Norway
http://www.wikidata.org/entity/Q101249024,Q101249024,cha-yuan.com,Q112165741,Lyon,,,1990-01-01 00:00:00+00:00,,,,France
http://www.wikidata.org/entity/Q1014858,Burgenländische Elektrizitätswirtschafts Aktiengesellschaft,bewag.at,Energy Supply,Eisenstadt,,,1958-01-01 00:00:00+00:00,2012-01-01 00:00:00+00:00,,,Austria
http://www.wikidata.org/entity/Q101511091,Massa d’Or Produccions,massador.com,Filmmaking,Barcelona,,,1992-01-01 00:00:00+00:00,,,,Spain
http://www.wikidata.org/entity/Q101559741,Biogroup,biogroup.fr,Q112166107,Saint-Denis,,,1998-01-01 00:00:00+00:00,,,,France
http://www.wikidata.org/entity/Q101627756,Q101627756,nh1816.nl,Insurance Industry,Oudkarspel,,,1816-10-05 00:00:00+00:00,,,,Netherlands
http://www.wikidata.org/entity/Q1017242,Busbetrieb Aarau AG,aar.ch,Public Transport,Aarau,,,1955-01-01 00:00:00+00:00,,,,Switzerland
http://www.wikidata.org/entity/Q101747470,Caffè Moak,caffemoak.com,Coffee,Modica,,,1967-01-01 00:00:00+00:00,,,,Italy
http://www.wikidata.org/entity/Q1018375,Buzzi,alamocement.com,Building Material,Casale Monferrato,,,1907-01-01 00:00:00+00:00,,,,Italy
http://www.wikidata.org/entity/Q1018480,Swimmy,swimmy.fr,"Competitive Swimming, Internet Portal, Tourism Industry, Trade",Malakoff,,,2017-06-02 00:00:00+00:00,,,,France
http://www.wikidata.org/entity/Q1018666,Bystronic,bystronic.com,Mechanical Engineering,Niederönz,,German-Swiss Chamber of Commerce,1986-01-01 00:00:00+00:00,,,,Switzerland
http://www.wikidata.org/entity/Q101982931,Elesa,elesa.com,Industrial Manufacturing,Monza,,,1941-01-01 00:00:00+00:00,,,,Italy
http://www.wikidata.org/entity/Q102108193,Patrimonium Asset Management,patrimonium.ch,"Alternative Investment, Investment Company, Property Management",Baar,,,2006-01-01 00:00:00+00:00,,,,Switzerland
http://www.wikidata.org/entity/Q102113706,Q102113706,boco.fr,Fast-Food Restaurants,Paris,,,2011-05-01 00:00:00+00:00,,,,France
http://www.wikidata.org/entity/Q102123075,Q102123075,afondgaston.fr,Q112165834,Lyon,,,2018-01-01 00:00:00+00:00,,,,France
http://www.wikidata.org/entity/Q1022273,Transgourmet Austria,transgourmet.at,Wholesale,Traun,,,1963-01-01 00:00:00+00:00,,,,Austria
http://www.wikidata.org/entity/Q1022419,Uniqa Insurance Group,uniqagroup.com,Insurance Industry,Vienna,,Österreichischer Raiffeisenverband,1811-01-01 00:00:00+00:00,,,,Austria
http://www.wikidata.org/entity/Q1022564,C. Schember & Söhne,schember.at,Machinery Industry And Plant Construction,Vienna,,,1852-01-01 00:00:00+00:00,,,,Austria
http://www.wikidata.org/entity/Q1022921,CA Immo,caimmo.com,Real Estate Economics,Vienna,,,1987-01-01 00:00:00+00:00,,,,Austria
http://www.wikidata.org/entity/Q1023047,Clews Competition Motorcycles,ccm-motorcycles.com,Automotive Industry,Bolton,,,1971-01-01 00:00:00+00:00,,,,United Kingdom
http://www.wikidata.org/entity/Q102353711,MCE Insurance,mceinsurance.com,Vehicle Insurance,Rushden,,,1975-01-01 00:00:00+00:00,,,,United Kingdom
http://www.wikidata.org/entity/Q1023749,CIR Group,cirgroup.it,Holding Company,Milan,,,1976-01-01 00:00:00+00:00,,,,Italy
http://www.wikidata.org/entity/Q1023871,CMC Markets,cmcmarketsplc.com,Financial Services,London,Goldman Sachs,,1989-01-01 00:00:00+00:00,,,,United Kingdom
http://www.wikidata.org/entity/Q1023876,CME Group,cmegroup.com,Finance,"Chicago, London",,Linux Foundation,2007-07-12 00:00:00+00:00,,5019400000.0,2022-01-01 00:00:00+00:00,United Kingdom
http://www.wikidata.org/entity/Q1025865,Cailler,cailler.ch/en,Food Industry,Broc,Bear Brand,,1819-01-01 00:00:00+00:00,,,,Switzerland
http://www.wikidata.org/entity/Q1026582,Caledonian MacBrayne,calmac.co.uk,Transport,Gourock,David MacBrayne Ltd,,1973-01-01 00:00:00+00:00,,,,United Kingdom
http://www.wikidata.org/entity/Q1027472,Caltagirone Editore,caltagironeeditore.com,Publishing,Rome,Caltagirone,,1999-01-01 00:00:00+00:00,,,,Italy
http://www.wikidata.org/entity/Q1027874,Oniverse,calzedonia.com,"Light Industry, Retail",Villafranca Di Verona,Sandro Veronesi,,1986-01-01 00:00:00+00:00,,,,Italy
