country,company_name,city,funding_amount,industry_tags,start_year,status,website,country_code
Belgium,FEST COFFEE MISSION SP. Z O.O.,KRAKOW,,,2022.0,,,
Belgium,KOON,Tongeren,,,2008.0,,,
Belgium,MAS,Bilzen-Hoeselt,,,2015.0,,,
Belgium,MPULS MENEN-WERVIK,Menen,,,1968.0,,,
Belgium,Nspire,Lummen,,,2011.0,,,
Belgium,R5,Dendermonde,,,2018.0,,,
Belgium,SELL,Kapellen,,,2006.0,,,
Belgium,UKBUM,Beveren-Kruibeke-Zwijndrecht,,,2022.0,,,
Belgium,kweu,Gent,,,2023.0,,,
Belgium,mpaktMasjien,Gent,,,2014.0,,,
Belgium,""" 'T ZEEPAARDJE-LE LIS'"" BTW GROEP",Hamme (Vl.),,,2010.0,,,
Belgium,""" 01-SERVICES """,Liège,,,2010.0,,,
Belgium,""" ACP Gray 83 "" sise rue Gray 83 à 1050 Ixelles",Ixelles,,,2020.0,,,
Belgium,""" ARJEPA """,Liège,,,2006.0,,,
Belgium,""" ASSOCIATES ENTREPRISES CONSULTANTS ACCOMPLISHMENT GROWTH "", en abrégé « AEC-AG »",Auderghem,,,1991.0,,,
Belgium,""" ASSOCIATION DES COPROPRIETAIRES DE LA RESIDENCE LOUIS BERTRAND, numéros 71/73"". sise à La Louvière, rue Louis Bertra",La Louvière,,,2015.0,,,
Belgium,""" Akontio """,Huy,,,2019.0,,,
Belgium,""" Andrew Thirion Aménagements et Design """,Houffalize,,,2025.0,,,
Belgium,""" ArtVan Consult """,Watermael-Boitsfort,,,2021.0,,,
Belgium,""" BAR DE JULE"" FOODTRUCK",Kapelle-op-den-Bos,,,2016.0,,,
Belgium,""" BATIMENTO """,Waremme,,,2010.0,,,
Belgium,""" BENEX """,Silly,,,2012.0,,,
Belgium,""" CB CERATIZIT BELGIUM """,Neupré,,,2010.0,,,
Belgium,""" COLLAM """,Deinze,,,2025.0,,,
Belgium,""" CONGO NOTRE MAISON """,Liège,,,2010.0,,,
Belgium,""" CONRAD F MANAGEMENT""",Antwerpen,,,2006.0,,,
Belgium,""" Cabinet Conseil LR s.p.r.l. """,Rixensart,,,2010.0,,,
Belgium,""" Citoyens sans Frontières """,Chaudfontaine,,,2010.0,,,
Belgium,""" DG LIMOUSINES""",Morlanwelz,,,2008.0,,,
Belgium,""" De Wolf - Durnez Ramen en Deuren""",Heist-op-den-Berg,,,2018.0,,,
Belgium,""" E.M.B.I. """,Sprimont,,,2010.0,,,
Belgium,""" E3P """,Visé,,,2021.0,,,
Belgium,""" ECO CLEANING SYSTEM SPRL """,Eupen,,,2010.0,,,
Belgium,""" Entre Nous "" Amis du Jumelage Jumet - Saint Junien",Charleroi,,,2013.0,,,
Belgium,""" Espoir """,Schaerbeek,,,1968.0,,,
Belgium,""" Francis SWINNEN Management """,Liège,,,2010.0,,,
Belgium,""" Fées toi m'aimes """,Liège,,,2010.0,,,
Belgium,""" G & F EVENTS""",Nivelles,,,2009.0,,,
Belgium,""" G.H. EPURATION """,Flémalle,,,2010.0,,,
Belgium,""" GDF Impact """,Woluwe-Saint-Pierre,,,2021.0,,,
Belgium,""" GDHL """,Waremme,,,2010.0,,,
Belgium,""" GO&BE """,Blégny,,,2010.0,,,
Belgium,""" Gilson """,Aywaille,,,2016.0,,,
Belgium,""" H & R""",Liège,,,2010.0,,,
Belgium,""" H+E """,Rebecq,,,2017.0,,,
Belgium,""" HG PRODUCTIONS """,Visé,,,2010.0,,,
Belgium,""" HOUDSTERMAATSCHAPPIJ LAURIERGRACHT "" DE BUFFEL""B.V.""",LEIDERDORP,,,2007.0,,,
Belgium,""" IMMO MIJA SOL """,Liège,,,2010.0,,,
Belgium,""" JM BUILDING """,Ittre,,,2008.0,,,
Belgium,""" JP DELHOUGNE Management """,Chaudfontaine,,,2010.0,,,
Bulgaria,""""" А ЕНД В КОНСУЛТ """" ООД",,,,2012.0,,,
Bulgaria,""""" А и С ТРАНСПОРТ """" ООД",,,,2012.0,,,
Bulgaria,""""" АВАНГАРД СТ """" ЕООД",област: Стара Загора,,,2012.0,,,
Bulgaria,""""" АГРОГРИЙН - КАЧАМАЧКОВА"""" ЕООД",,,,2016.0,,,
Bulgaria,""""" АИМ Къмършъл-85”"" ЕООД",,,,2015.0,,,
Bulgaria,""""" АЙ - ФРЕШ """" ООД",,,,2011.0,,,
Bulgaria,""""" АЛЕН - СПАС СОТИРОВ 2012"" ЕООД"" ЕООД",,,,2012.0,,,
Bulgaria,""""" АЛКА ГРУП """" ООД",,,,2012.0,,,
Bulgaria,""""" АМБУЛАТОРИЯ ЗА СПЕЦИАЛИЗИРАНА ИЗВЪНБОЛНИЧНА МЕДИЦИНСКА ПОМОЩ ПО ОЧНИ БОЛЕСТИ - ИНДИВИДУАЛНА ПРАКТИКА - Д-Р РАЙЧО АНДРЕЕВ - РЕФЛЕКТ"" ЕООД"" ЕООД",,,,,,,
Bulgaria,""""" АНГОВ 83 """" ЕООД",област: Хасково,,,2012.0,,,
Bulgaria,""""" АНЕТА ГЮНДЖИЕВА-2012 """" ЕООД",,,,2012.0,,,
Bulgaria,""""" АРБИТРАНС - АМГ """" ЕООД",,,,2012.0,,,
Bulgaria,""""" АСО ГАРАНТ """" ЕООД",област: София (столица),,,,,,
Bulgaria,""""" АТИВА- 80"""" ЕООД",,,,2013.0,,,
Bulgaria,""""" БАЛКАН ТРЕЙДАРС """" ЕООД",,,,2011.0,,,
Bulgaria,""""" БГ АВТОКЛУБ"""" ЕООД",,,,2015.0,,,
Bulgaria,""""" БГР СТРОЙ "" ЕООД"" ЕООД",,,,2008.0,,,
Bulgaria,""""" БЕБО - ВК """" ООД",,,,2011.0,,,
Bulgaria,""""" БЕСТ - ПАЙ """" ООД",,,,2010.0,,,
Bulgaria,""""" БИО ДИВАН """" ЕООД",,,,2011.0,,,
Bulgaria,""""" БЛЕК СИЙ СЪНРАЙЗ """" ЕООД",,,,2010.0,,,
Bulgaria,""""" БОБИ-РОС """" ЕООД",,,,2012.0,,,
Bulgaria,""""" БОДИВЕС """" ООД",,,,2012.0,,,
Bulgaria,""""" БОЖИДАР 1998 """" ЕООД",,,,2012.0,,,
Bulgaria,""""" БОРЕКС БИЛД"""" ЕООД",област: София,,,,,,
Bulgaria,""""" БРИГАДА ГРУП """" ООД",област: София (столица),,,2012.0,,,
Bulgaria,""""" БРК - КОСМЕТИКС """" ООД",област: София (столица),,,,,,
Bulgaria,""""" БУКВИЦА"" ЕООД"" ЕООД",област: София (столица),,,2011.0,,,
Bulgaria,""""" БЯЛА ВИСТА РИЗОРТ 8 """" ЕООД",,,,2014.0,,,
Bulgaria,""""" ВЕЛАМАКРИ """" ООД",,,,2008.0,,,
Bulgaria,""""" ВЕРИТА М """" ЕООД",,,,2010.0,,,
Bulgaria,""""" ВИНОС ДЖЕНЕРАЛ КОНТРАКТИНГ"""" ООД",област: София (столица),,,2012.0,,,
Bulgaria,""""" ВОСТОК """" ЕООД",,,,,,,
Bulgaria,""""" ВЮ-РА """" ЕООД",,,,2017.0,,,
Bulgaria,""""" ГАГО 98 """" ЕООД",област: Пловдив,,,2012.0,,,
Bulgaria,""""" ГЕКА ""ООД"" ООД",,,,,,,
Bulgaria,""""" ГЕО И МИЛ-ГЕОРГИЕВ И СИЕ """" СД",област: Стара Загора,,,,,,
Bulgaria,""""" ГЕОИНЖЕНЕРИНГ """" ЕООД",,,,,,,
Bulgaria,""""" ГЕОРГИ ДИШЛЯНОВ """" ЕООД",,,,2012.0,,,
Bulgaria,""""" ГЕОРГИОС РАСИМОГЛУ """" ЕООД",,,,2010.0,,,
Bulgaria,""""" ГЛОБЪЛ СОРС """" ООД",,,,2012.0,,,
Bulgaria,""""" ГРАЙФЕР ШПЕД """" ЕООД",,,,2012.0,,,
Bulgaria,""""" ГРУП СКМ """" ЕООД",област: София (столица),,,,,,
Bulgaria,""""" Гри Жас Клима """" ЕООД",област: Пловдив,,,2012.0,,,
Bulgaria,""""" Д Б ТРАНС-2012"""" ООД",,,,2012.0,,,
Bulgaria,""""" Д-р Силвия Атанасова Славова - Амбулатория за индивидуална практика за първична медицинска помощ """" ЕООД",област: Пловдив,,,2012.0,,,
Bulgaria,""""" ДАЛЕРИНА """" ЕООД",област: Хасково,,,2012.0,,,
Bulgaria,""""" ДАМ- ДАВ """" ЕООД",,,,2016.0,,,
Bulgaria,""""" ДАНДО """" ЕООД",,,,2011.0,,,
Bulgaria,""""" ДЕМИ - АН - ТРАНС """" ЕООД",,,,2012.0,,,
Croatia,""" Štorije """,,,,,,,
Croatia,""" ŽELJA UMA """,,,,,,,
Croatia,"""Antenor""",,,,,,,
Croatia,"""BASKET-GRADAC""",,,,,,,
Croatia,"""BIBI"" D.O.O. U LIKVIDACIJI",,,,,,,
Croatia,"""BONKULOVIĆI"" - KORČULA",,,,,,,
Croatia,"""BRESKORKA""",,,,,,,
Croatia,"""BVC""",,,,,,,
Croatia,"""DALONG""",,,,,,,
Croatia,"""DECOM""",,,,,,,
Croatia,"""DOMING""",,,,,,,
Croatia,"""DOSTOJAN ŽIVOT"" UDRUGA ZA ZAŠTITU LJUDSKIH PRAVA",,,,,,,
