country,company_name,city,funding_amount,industry_tags,start_year,status,website,country_code
Austria,Bitpanda,Vienna,242938764.3648,Bitcoin,2014.0,,,
Austria,Bitpanda,Vienna,242938764.3648,Blockchain,2014.0,,,
Austria,Bitpanda,Vienna,242938764.3648,Cryptocurrency,2014.0,,,
Austria,Bitpanda,Vienna,242938764.3648,FinTech,2014.0,,,
Austria,Tractive,Pasching,32351376.6248,GPS,2012.0,,,
Austria,Tractive,Pasching,32351376.6248,Pet,2012.0,,,
Austria,Tractive,Pasching,32351376.6248,Software,2012.0,,,
Austria,Tractive,Pasching,32351376.6248,Wearables,2012.0,,,
Austria,GoStudent,Vienna,86408985.2896,Apps,2016.0,,,
Austria,GoStudent,Vienna,86408985.2896,Continuing Education,2016.0,,,
Austria,GoStudent,Vienna,86408985.2896,EdTech,2016.0,,,
Austria,GoStudent,Vienna,86408985.2896,Education,2016.0,,,
Austria,Allcyte,Vienna,5150400.0,Biotechnology,2017.0,,,
Austria,Allcyte,Vienna,5150400.0,Health Diagnostics,2017.0,,,
Austria,Allcyte,Vienna,5150400.0,Machine Learning,2017.0,,,
Austria,Allcyte,Vienna,5150400.0,Pharmaceutical,2017.0,,,
Austria,Adverity,Vienna,39742791.204,Advertising,2015.0,,,
Austria,Adverity,Vienna,39742791.204,Analytics,2015.0,,,
Austria,Adverity,Vienna,39742791.204,Artificial Intelligence,2015.0,,,
Austria,Adverity,Vienna,39742791.204,Big Data,2015.0,,,
Austria,Adverity,Vienna,39742791.204,Business Intelligence,2015.0,,,
Austria,Adverity,Vienna,39742791.204,Data Integration,2015.0,,,
Austria,Adverity,Vienna,39742791.204,Data Visualization,2015.0,,,
Austria,Adverity,Vienna,39742791.204,SaaS,2015.0,,,
Austria,Adverity,Vienna,39742791.204,Software,2015.0,,,
Austria,PlanRadar,Vienna,31200000.0,Android,2013.0,,,
Austria,PlanRadar,Vienna,31200000.0,Architecture,2013.0,,,
Austria,PlanRadar,Vienna,31200000.0,Building Maintenance,2013.0,,,
Austria,PlanRadar,Vienna,31200000.0,Collaboration,2013.0,,,
Austria,PlanRadar,Vienna,31200000.0,Construction,2013.0,,,
Austria,PlanRadar,Vienna,31200000.0,iOS,2013.0,,,
Austria,PlanRadar,Vienna,31200000.0,Real Estate,2013.0,,,
Austria,PlanRadar,Vienna,31200000.0,SaaS,2013.0,,,
