country,company_name,city,funding_amount,industry_tags,start_year,status,website
Sweden,MySQL AB,Solna Municipality,,Software Industry,2001-01-01 00:00:00+00:00,,mysql.com
Italy,Ferrovie della Calabria,Catanzaro,,Public Transport,2001-01-01 00:00:00+00:00,,ferroviedellacalabria.it
Denmark,Telia Danmark,Copenhagen,,Telecommunications,1995-05-01 00:00:00+00:00,,telia.dk
Netherlands,Brownies&downieS,Veghel,,Horeca,2010-01-01 00:00:00+00:00,,browniesanddownies.nl
Italy,librerie.coop,Villanova,,Book Retail Industry,2006-01-01 00:00:00+00:00,,librerie.coop
Switzerland,Cleverclip,Bern,,Graphic Design,2013-04-01 00:00:00+00:00,,cleverclipstudios.com
France,Brut Butcher,Andrézieux-Bouthéon,,"Fast Food, Franchising",2017-03-16 00:00:00+00:00,,brutbutcher.com
United Kingdom,Foggo Associates,London,,Construction Industry,1989-01-17 00:00:00+00:00,,foggo.com
Sweden,Candela Technology AB,Stockholm,,Boat Manufacturing Company,2014-01-01 00:00:00+00:00,,candela.com
Norway,Drangedal Sparebank,Prestestranda,,Banking,1935-12-16 00:00:00+00:00,,drangedalsparebank.no
Norway,Vestre AS,Oslo,,Furniture Manufacturer,1947-01-01 00:00:00+00:00,,vestre.com/no
Austria,Bundesimmobiliengesellschaft,Vienna,,Real Estate Company,1992-07-17 00:00:00+00:00,,big.at
France,Distillerie du Gorvello,Q3223138,,Cultivation Of Pome Fruits And Stone Fruits,2011-12-12 00:00:00+00:00,,distilleriedugorvello.fr
France,Deepnight Games,Bordeaux,,Q112165928,2020-06-08 00:00:00+00:00,,deepnight.net
Norway,Arctic Train,"Narvik, Narvik Station",,"Public Transport, Rail Transport",2019-03-26 00:00:00+00:00,,arctictrain.com
Switzerland,Burckhardt Compression,Winterthur,,Mechanical Engineering,1844-01-01 00:00:00+00:00,,burckhardtcompression.com
France,Bureau of International Expositions,Paris,,Activities Of Extraterritorial Organizations And Bodies,1928-11-22 00:00:00+00:00,,bie-paris.org
Austria,Holzindustrie Maresch,Retz,,Wood Processing,1974-01-01 00:00:00+00:00,,maresch.co.at
Spain,EroticFeel,León,,Sex Shop,2019-01-01 00:00:00+00:00,,eroticfeel.com/es
Norway,Q101229953,Klepp Municipality,,Brewing Industry,2017-01-01 00:00:00+00:00,,rygrbrewery.com
France,Q101249024,Lyon,,Q112165741,1990-01-01 00:00:00+00:00,,cha-yuan.com
Austria,Burgenländische Elektrizitätswirtschafts Aktiengesellschaft,Eisenstadt,,Energy Supply,1958-01-01 00:00:00+00:00,,bewag.at
Spain,Massa d’Or Produccions,Barcelona,,Filmmaking,1992-01-01 00:00:00+00:00,,massador.com
France,Biogroup,Saint-Denis,,Q112166107,1998-01-01 00:00:00+00:00,,biogroup.fr
Netherlands,Q101627756,Oudkarspel,,Insurance Industry,1816-10-05 00:00:00+00:00,,nh1816.nl
Switzerland,Busbetrieb Aarau AG,Aarau,,Public Transport,1955-01-01 00:00:00+00:00,,aar.ch
Italy,Caffè Moak,Modica,,Coffee,1967-01-01 00:00:00+00:00,,caffemoak.com
Italy,Buzzi,Casale Monferrato,,Building Material,1907-01-01 00:00:00+00:00,,alamocement.com
France,Swimmy,Malakoff,,"Competitive Swimming, Internet Portal, Tourism Industry, Trade",2017-06-02 00:00:00+00:00,,swimmy.fr
Switzerland,Bystronic,Niederönz,,Mechanical Engineering,1986-01-01 00:00:00+00:00,,bystronic.com
Italy,Elesa,Monza,,Industrial Manufacturing,1941-01-01 00:00:00+00:00,,elesa.com
Switzerland,Patrimonium Asset Management,Baar,,"Alternative Investment, Investment Company, Property Management",2006-01-01 00:00:00+00:00,,patrimonium.ch
France,Q102113706,Paris,,Fast-Food Restaurants,2011-05-01 00:00:00+00:00,,boco.fr
France,Q102123075,Lyon,,Q112165834,2018-01-01 00:00:00+00:00,,afondgaston.fr
Austria,Transgourmet Austria,Traun,,Wholesale,1963-01-01 00:00:00+00:00,,transgourmet.at
Austria,Uniqa Insurance Group,Vienna,,Insurance Industry,1811-01-01 00:00:00+00:00,,uniqagroup.com
Austria,C. Schember & Söhne,Vienna,,Machinery Industry And Plant Construction,1852-01-01 00:00:00+00:00,,schember.at
Austria,CA Immo,Vienna,,Real Estate Economics,1987-01-01 00:00:00+00:00,,caimmo.com
United Kingdom,Clews Competition Motorcycles,Bolton,,Automotive Industry,1971-01-01 00:00:00+00:00,,ccm-motorcycles.com
United Kingdom,MCE Insurance,Rushden,,Vehicle Insurance,1975-01-01 00:00:00+00:00,,mceinsurance.com
Italy,CIR Group,Milan,,Holding Company,1976-01-01 00:00:00+00:00,,cirgroup.it
United Kingdom,CMC Markets,London,,Financial Services,1989-01-01 00:00:00+00:00,,cmcmarketsplc.com
United Kingdom,CME Group,"Chicago, London",5019400000.0,Finance,2007-07-12 00:00:00+00:00,,cmegroup.com
Switzerland,Cailler,Broc,,Food Industry,1819-01-01 00:00:00+00:00,,cailler.ch/en
United Kingdom,Caledonian MacBrayne,Gourock,,Transport,1973-01-01 00:00:00+00:00,,calmac.co.uk
Italy,Caltagirone Editore,Rome,,Publishing,1999-01-01 00:00:00+00:00,,caltagironeeditore.com
Italy,Oniverse,Villafranca Di Verona,,"Light Industry, Retail",1986-01-01 00:00:00+00:00,,calzedonia.com
Sweden,Green Cargo,Solna Municipality,,Logistics,2001-01-01 00:00:00+00:00,,greencargo.com
Switzerland,SIGVARIS Group (Switzerland),Winterthur,,Textile Industry,1864-01-01 00:00:00+00:00,,sigvaris.com
Norway,IFPI Norge,Oslo,,Music Industry,1939-01-01 00:00:00+00:00,,ifpi.no
Netherlands,Hermes,Eindhoven,,Public Transport,1995-01-01 00:00:00+00:00,,hermes.nl
Spain,Camper,Inca,,"Fashion, Footwear",1975-01-01 00:00:00+00:00,,camper.com
France,Capgemini,Paris,22522000000.0,"Activities Of Head Offices, It Service Management",1967-10-01 00:00:00+00:00,,capgemini.com
Italy,Capitalia,Rome,,Financial Services,2002-07-01 00:00:00+00:00,,capitalia.it
Austria,CargoServ,Linz,,Rail Freight Transport,2001-04-01 00:00:00+00:00,,cargoserv.at
Norway,CargoNet,Oslo,,Rail Freight Transport,2001-06-28 00:00:00+00:00,,cargonet.no
Norway,Rostein,Harøya,,"Sea And Coastal Freight Water Transport (Nace 50.2), Water Transport",1988-09-07 00:00:00+00:00,,rostein.no
United Kingdom,Megelli Motorcycles,North Hykeham,,Automotive Industry,2004-01-01 00:00:00+00:00,,megelli.com
Switzerland,Carl F. Bucherer,Lucerne,,Horology,1888-01-01 00:00:00+00:00,,carl-f-bucherer.com
Norway,Grev Wedels plass auksjoner,Oslo,,Art,1992-03-05 00:00:00+00:00,,gwpa.no
Sweden,Q10397452,Kungsbacka,,House-Building,1947-01-01 00:00:00+00:00,,a-hus.se
Italy,Hitachi Rail STS,Genoa,1327400000.0,"Electrical Engineering, Railway, Regional Rail",2006-01-01 00:00:00+00:00,,sts.hitachirail.com
Sweden,Ahlmark Lines,Karlstad,,Water Transport,1847-01-01 00:00:00+00:00,,ahlmarklines.se/sv
Sweden,Alecta,Stockholm,,"Insurance, Pension",1917-01-01 00:00:00+00:00,,alecta.se
Sweden,Svea Bank,Stockholm,,Collection Agency,1981-01-01 00:00:00+00:00,,svea.com
France,Ubisoft Paris,Montreuil,,Q112165941,1986-01-01 00:00:00+00:00,,ubisoft.com/en-us/studio/paris.aspx
Italy,Indesit,Fabriano,2900000000.0,Mechanical Engineering,1975-01-01 00:00:00+00:00,,indesit.com
Norway,Vår Energi,Sandnes Municipality,2750000000.0,Petroleum Industry,2018-12-01 00:00:00+00:00,,varenergi.no
France,Transdev Group,Issy-Les-Moulineaux,9326000000.0,Auxiliary Land Transport Services,2010-03-23 00:00:00+00:00,,transdev.com
Norway,Langfjordkraft,Oslo,,Electricity Generation,2011-04-07 00:00:00+00:00,,clemenskraft.no
Italy,Carlo Gavazzi Holding,Steinhausen,,Manufacturing Industry,1931-01-01 00:00:00+00:00,,carlogavazzi.com/de-ch
Italy,buddybank,Milan,,Financial Sector,2018-01-29 00:00:00+00:00,,buddybank.com
Norway,Bik Bok,Oslo,751900000.0,Clothing Industry,1973-01-01 00:00:00+00:00,,bikbok.com
Sweden,Q10429580,Gothenburg,,Car Dealership,1929-01-01 00:00:00+00:00,,bilia.se
Sweden,Biotage (company),"Lund, Uppsala",,Biotechnology,2003-01-01 00:00:00+00:00,,biotage.com
Sweden,Björn Biografer,Hofors,,Entertainment,1926-01-01 00:00:00+00:00,,bjornbio.se
Sweden,Blåkläder,Svenljunga,,"Clothing Industry, Workwear",1959-01-01 00:00:00+00:00,,blaklader.com
Norway,Q10434019,Majorstuen,2695000000.0,Consulting Company,1995-01-01 00:00:00+00:00,,bouvet.no
Sweden,Bredbandsbolaget,Sweden,,Internet Service Provider,1998-01-01 00:00:00+00:00,,bredbandsbolaget.se
Sweden,Q10438139,Kramfors Municipality,,Public Transport Bus Service,1927-01-01 00:00:00+00:00,,bybergnordin.se
Sweden,Byggmax,Stockholm,7670000000.0,"Retail, Wholesale",1993-01-01 00:00:00+00:00,,byggmax.se
Switzerland,CRISPR Therapeutics,Zug,,Biotechnology Industry,2013-01-01 00:00:00+00:00,,crisprtx.com
Italy,Carrozzeria Marazzi,Milan,,Automotive Industry,1967-01-01 00:00:00+00:00,,marazzicar.com
Spain,Alike Studio,Barcelona,,Video Game Industry,2014-01-01 00:00:00+00:00,,alikestudio.com
France,RougeGorge,Wasquehal,,Q112165802,1955-01-01 00:00:00+00:00,,rougegorge.com
Italy,Casa Ricordi,Milan,,Music Publishing,1808-01-01 00:00:00+00:00,,ricordi.it
Denmark,Stark Group A/S,Frederiksberg,7800000000.0,"Building Materials Trade, Wholesale",1896-01-01 00:00:00+00:00,,starkgroup.dk
Denmark,CONFIGIT A/S,Copenhagen,,Software Industry,2000-04-12 00:00:00+00:00,,configit.com
Spain,Ganga Producciones,"Calle De San Restituto, Madrid",,Audiovisual,1997-03-12 00:00:00+00:00,,grupoganga.com
Italy,ASM Rieti,Rieti,,"Pharmacy, Public Transport, Vehicle For Hire, Waste Management",1974-01-01 00:00:00+00:00,,asmrieti.it
France,Evil Empire,Bordeaux,,Q112165928,2019-01-31 00:00:00+00:00,,evilempirestudio.com
Switzerland,Q104819355,Büren An Der Aare,,Meat Processing Industry,1946-01-01 00:00:00+00:00,,bigler.ch/de
Italy,Cassa Depositi e Prestiti,Rome,,Financial Sector,1850-11-18 00:00:00+00:00,,cdp.it
France,Jimmy Fairly,Paris,,Q112165819,2011-01-01 00:00:00+00:00,,jimmyfairly.com
Denmark,Ganni,Copenhagen,901891000.0,"Clothing Industry, Fashion",2000-01-01 00:00:00+00:00,,ganni.com
Spain,Amania Films,Vitoria-Gasteiz,,Movie Theater,2012-01-01 00:00:00+00:00,,amaniafilms.com
Sweden,Espresso House,Stockholm,,List Of Coffeehouse Chains,1996-01-01 00:00:00+00:00,,espressohouse.com
Switzerland,Ferag,Hinwil,,Mechanical Engineering,1957-01-01 00:00:00+00:00,,ferag.com/de
France,Body Minute,Paris,,Q112166205,1998-01-01 00:00:00+00:00,,bodyminute.com
France,France 2 Cinéma,Paris,,Film Production For The Cinema,1980-12-22 00:00:00+00:00,,france2cinema.fr
France,France 3 Cinéma,Paris,,Film Production For The Cinema,1984-01-01 00:00:00+00:00,,france3cinema.fr
United Kingdom,Castrol,Reading,,Petroleum Industry,1899-01-01 00:00:00+00:00,,castrol.com
Italy,Rinascente,Milan,,Retail,1865-01-01 00:00:00+00:00,,rinascente.it
Sweden,Flamebait Games,Skövde,,Video Game Industry,2016-12-08 00:00:00+00:00,,flamebaitgames.com
Sweden,G5 Entertainment,Stockholm,,Game Industry,2001-01-01 00:00:00+00:00,,g5e.com
Italy,Ludicrous Games,Lucca,,Video Game Industry,2016-01-01 00:00:00+00:00,,weareludicrous.com
Italy,Schiaffini Travel,Rome,,"Public Transport, Vehicle For Hire",1949-01-01 00:00:00+00:00,,schiaffini.com
France,Keystone Paris,Paris,,"Journalism, Photography, Photojournalism",1927-01-01 00:00:00+00:00,,gamma-rapho-expos.com/photographes/keystone-agence
Italy,Trotta Bus Services,Rome,,"Public Transport, Vehicle For Hire",1961-03-13 00:00:00+00:00,,trotta.it
