rank,country,name,description,state,city,started_in,founders,industries,employees,funding_raw,funding_rounds,investors_count,investors_list,source_url,employees_min,employees_max,funding_usd,industries_list,founders_list,text,clean_text,cluster
1,Austria,Bitpanda,Bitpanda is a digital asset exchange that makes it easy to purchase and sell bitcoins.,Wien,Vienna,2014.0,"Christian Trummer, Eric Demuth, Paul Klanschek","Bitcoin, Blockchain, Cryptocurrency, FinTech",251-500,"$283,013,472",5.0,6.0,"[""DST Global"", ""Wintermute Trading"", ""Speedinvest"", ""Jump Capital"", ""Valar Ventures""]",https://www.failory.com/startups/austria,251.0,500.0,283013472.0,"[""Bitcoin"", ""Blockchain"", ""Cryptocurrency"", ""FinTech""]","[""Christian Trummer"", ""Eric Demuth"", ""Paul Klanschek""]",Bitpanda is a digital asset exchange that makes it easy to purchase and sell bitcoins.,bitpanda digital asset exchange makes easy purchase sell bitcoins,7
2,Austria,Tractive,Tractive is a company that creates GPS tracking gadgets for dogs and cats.,Oberosterreich,Pasching,2012.0,"Michael Hurnaus, Michael Lettner, Michael Tschernuth","GPS, Pet, Software, Wearables",51-100,"$37,687,997",5.0,5.0,"[""['Guidepost Growth Equity'"", ""'Monkfish Equity'"", ""'Harold Primat'"", ""'Johann \""Hansi\"" Hansmann'"", ""'Attila Balogh']""]",https://www.failory.com/startups/austria,51.0,100.0,37687997.0,"[""GPS"", ""Pet"", ""Software"", ""Wearables""]","[""Michael Hurnaus"", ""Michael Lettner"", ""Michael Tschernuth""]",Tractive is a company that creates GPS tracking gadgets for dogs and cats.,tractive company creates gps tracking gadgets dogs cats,-1
3,Austria,GoStudent,"In a virtual learning environment, GoStudent is a digital school that connects students with teachers.",Wien,Vienna,2016.0,"Felix Ohswald, Gregor Müller, Moritz Ohswald","Apps, Continuing Education, EdTech, Education",251-500,"$100,662,844",6.0,7.0,"[""DN Capital"", ""Coatue"", ""Speedinvest"", ""Left Lane Capital"", ""NFQ Capital""]",https://www.failory.com/startups/austria,251.0,500.0,100662844.0,"[""Apps"", ""Continuing Education"", ""EdTech"", ""Education""]","[""Felix Ohswald"", ""Gregor M\u00c3\u00bcller"", ""Moritz Ohswald""]","In a virtual learning environment, GoStudent is a digital school that connects students with teachers.",virtual learning environment gostudent digital school connects students teachers,6
4,Austria,Allcyte,Allcyte is a biotech start-up focused on patient-centric precision medicine and medication discovery employing high-content imaging and artificial intelligence.,Wien,Vienna,2017.0,"Berend Snijder, Giulio Superti-Furga, Gregory Vladimer, Nikolaus Krall","Biotechnology, Health Diagnostics, Machine Learning, Pharmaceutical",11-50,"$6,000,000",2.0,5.0,"[""42CAP"", ""Air Street Capital"", ""PUSH Ventures"", ""Amino Collective"", ""Venture Partners AG""]",https://www.failory.com/startups/austria,11.0,50.0,6000000.0,"[""Biotechnology"", ""Health Diagnostics"", ""Machine Learning"", ""Pharmaceutical""]","[""Berend Snijder"", ""Giulio Superti-Furga"", ""Gregory Vladimer"", ""Nikolaus Krall""]",Allcyte is a biotech start-up focused on patient-centric precision medicine and medication discovery employing high-content imaging and artificial intelligence.,allcyte biotech start focused patient centric precision medicine medication discovery employing high content imaging artificial intelligence,2
5,Austria,Adverity,Adverity is a data-driven marketing analytics tool that helps marketers make better decisions and enhance their results.,Wien,Vienna,2015.0,"Alexander Igelsböck, Andreas Glänzer, Martin Brunthaler, Vlad Gozman","Advertising, Analytics, Artificial Intelligence, Big Data, Business Intelligence, Data Integration, Data Visualization, SaaS, Software",101-250,"$46,298,685",4.0,7.0,"[""Sapphire Ventures"", ""Speedinvest"", ""Felix Capital"", ""42CAP"", ""aws Gr\u00c3\u00bcnderfonds (aws Founders Fund""]",https://www.failory.com/startups/austria,101.0,250.0,46298685.0,"[""Advertising"", ""Analytics"", ""Artificial Intelligence"", ""Big Data"", ""Business Intelligence"", ""Data Integration"", ""Data Visualization"", ""SaaS"", ""Software""]","[""Alexander Igelsb\u00c3\u00b6ck"", ""Andreas Gl\u00c3\u00a4nzer"", ""Martin Brunthaler"", ""Vlad Gozman""]",Adverity is a data-driven marketing analytics tool that helps marketers make better decisions and enhance their results.,adverity data driven marketing analytics tool helps marketers make better decisions enhance results,-1
6,Austria,PlanRadar,PlanRadar is a SaaS service for construction and real estate project documentation and communication.,Wien,Vienna,2013.0,"Clemens Hammerl, Constantin Köck, Domagoj Dolinsek, Ibrahim Imam, Sander van de Rijdt","Android, Architecture, Building Maintenance, Collaboration, Construction, iOS, Real Estate, SaaS, Software, Task Management",101-250,,4.0,6.0,"[""Insight Partners"", ""Headline"", ""Cavalry Ventures"", ""Redstone"", ""aws Gr\u00c3\u00bcnderfonds (aws Founders Fund""]",https://www.failory.com/startups/austria,101.0,250.0,,"[""Android"", ""Architecture"", ""Building Maintenance"", ""Collaboration"", ""Construction"", ""iOS"", ""Real Estate"", ""SaaS"", ""Software"", ""Task Management""]","[""Clemens Hammerl"", ""Constantin K\u00c3\u00b6ck"", ""Domagoj Dolinsek"", ""Ibrahim Imam"", ""Sander van de Rijdt""]",PlanRadar is a SaaS service for construction and real estate project documentation and communication.,planradar saas service construction real estate project documentation communication,-1
7,Austria,refurbed,"Refurbed is an online marketplace for refurbished electronics, which are previously owned items that have been entirely reconditioned and resold.",Wien,Vienna,2017.0,"Jürgen Riedl, Kilian Kaminski, Peter Windischhofer","Apps, E-Commerce, Electronics, Marketplace, Software",51-100,"$19,239,651",3.0,10.0,"[""FJ Labs"", ""Speedinvest"", ""All Iron Ventures"", ""Almaz Capital"", ""Inventure Partners""]",https://www.failory.com/startups/austria,51.0,100.0,19239651.0,"[""Apps"", ""E-Commerce"", ""Electronics"", ""Marketplace"", ""Software""]","[""J\u00c3\u00bcrgen Riedl"", ""Kilian Kaminski"", ""Peter Windischhofer""]","Refurbed is an online marketplace for refurbished electronics, which are previously owned items that have been entirely reconditioned and resold.",refurbed online marketplace refurbished electronics previously owned items entirely reconditioned resold,-1
8,Austria,TourRadar,TourRadar is a website that allows you to compare and book multi-day trips in over 200 countries around the world.,Wien,Vienna,2010.0,"Shawn Pittman, Travis Pittman","Marketplace, Search Engine, Tourism, Travel",251-500,"$66,500,000",5.0,14.0,"[""TCV"", ""Speedinvest"", ""Cherry Ventures"", ""Endeit Capital"", ""Hoxton Ventures""]",https://www.failory.com/startups/austria,251.0,500.0,66500000.0,"[""Marketplace"", ""Search Engine"", ""Tourism"", ""Travel""]","[""Shawn Pittman"", ""Travis Pittman""]",TourRadar is a website that allows you to compare and book multi-day trips in over 200 countries around the world.,tourradar website allows compare book multi day trips countries around world,1
9,Austria,byrd,byrd is a member of an international e-commerce fulfillment network that provides a scalable and robust logistics solution to online retailers.,Wien,Vienna,2016.0,"Alexander Leichter, Christoph Krofitsch, Petra Dobrocka, Sebastian Mach","E-Commerce, Logistics, Supply Chain Management",51-100,,3.0,8.0,"[""FJ Labs"", ""Speedinvest"", ""VentureFriends"", ""CM Ventures"", ""Reflex Capital""]",https://www.failory.com/startups/austria,51.0,100.0,,"[""E-Commerce"", ""Logistics"", ""Supply Chain Management""]","[""Alexander Leichter"", ""Christoph Krofitsch"", ""Petra Dobrocka"", ""Sebastian Mach""]",byrd is a member of an international e-commerce fulfillment network that provides a scalable and robust logistics solution to online retailers.,byrd member international e commerce fulfillment network provides scalable robust logistics solution online retailers,3
10,Austria,Mimo,Mimo is a program that teaches computer science through a series of entertaining and unusual tasks.,Wien,Vienna,2016.0,"Dennis Daume, Henry Ameseder, Johannes Berger, Lorenz Schimik","E-Learning, Information Technology, Mobile Apps",11-50,"$650,000",2.0,8.0,"[""['Techstars'"", ""'Techstars Berlin Accelerator'"", ""'PUSH Ventures'"", ""'Johann \""Hansi\"" Hansmann'"", ""'Alfred Luger']""]",https://www.failory.com/startups/austria,11.0,50.0,650000.0,"[""E-Learning"", ""Information Technology"", ""Mobile Apps""]","[""Dennis Daume"", ""Henry Ameseder"", ""Johannes Berger"", ""Lorenz Schimik""]",Mimo is a program that teaches computer science through a series of entertaining and unusual tasks.,mimo program teaches computer science series entertaining unusual tasks,6
